# AIRGLOW LINE LIST for SKYCORR (Noll et al. 2013)
# based on
# - Hanuschik (2003) and Cosby et al. (2006) UVES line atlas
#   for optical non-OH lines and OH lines with delta v >= 4
#   (scaled to mean intensities of the Patat (2008) FORS1 data set)
# - OH calculations of Rousselot et al. (2000)
#   for Einstein coefficients of Goldman et al. (1998) instead of Mies (1974)
#   (scaled to the measured OH intensities in the optical)
# - O2 bands at 1.27 and 1.58 mum from the HITRAN database for 200 K
#   (scaled to match mean O2/OH band flux ratios of an XSHOOTER NIR data set)
# Meaning of Columns:
# Wavelength: line centres in vacuum and mum
# Flux: unextincted line flux in phot/sm2as2
# Trans: absorption-related transmission at zenith for Cerro Paranal mean
#        conditions
# Different variability classes are indicated:
# Type: 1: OI5577, 2: NaID, 3: OIred, 4: OH, 5: O2
# Flag for roto-vibrational systems (A and B groups defined):
# System: 0: no B groups defined, 1: OH, 2: O2(b-X), 3: O2(a-X)
# Fine classification by two group IDs:
# GroupA: e.g. same electronic states or vibrational transitions
# GroupB: e.g. same rotational upper levels
# For more details: SKYCORR user manual and Noll et al. (2012, A&A 543, A92)
# Wavelength[mum] Flux[phot/sm2as2] Trans[X=1] Type System GroupA GroupB
0.350077   0.0013 0.999431  5  0 39  0                                          
0.350336   0.0010 0.999424  5  0 41  0                                          
0.350376   0.0013 0.999430  5  0 41  0                                          
0.350581   0.0008 0.999467  5  0 39  0                                          
0.350632   0.0006 0.999479  5  0 41  0                                          
0.350672   0.0012 0.999482  5  0 41  0                                          
0.350992   0.0009 0.999497  5  0 41  0                                          
0.351085   0.0010 0.999463  5  0 41  0                                          
0.351312   0.0014 0.999027  5  0 41  0                                          
0.351396   0.0004 0.998694  5  0 41  0                                          
0.351822   0.0020 0.998166  1  0  1  0                                          
0.352186   0.0009 0.998792  1  0  1  0                                          
0.354191   0.0011 0.999480  5  0 39  0                                          
0.354343   0.0022 0.999425  5  0 41  0                                          
0.354387   0.0018 0.999412  5  0 41  0                                          
0.354522   0.0027 0.999393  5  0 41  0                                          
0.354562   0.0023 0.999395  5  0 41  0                                          
0.354616   0.0014 0.999399  5  0 41  0                                          
0.354656   0.0007 0.999395  5  0 41  0                                          
0.354722   0.0024 0.999387  5  0 41  0                                          
0.354768   0.0029 0.999376  5  0 41  0                                          
0.354822   0.0009 0.999356  5  0 39  0                                          
0.354895   0.0027 0.999339  5  0 41  0                                          
