# AIRGLOW LINE LIST
# based on
# - Hanuschik (2003) and Cosby et al. (2006) UVES line atlas
#   for optical non-OH lines and OH lines with delta v >= 4
#   (scaled to mean intensities of the Patat (2008) FORS1 data set)
# - OH calculations of Rousselot et al. (2000)
#   for Einstein coefficients of Goldman et al. (1998) instead of Mies (1974)
#   (scaled to the measured OH intensities in the optical)
# - O2 bands at 1.27 and 1.58 mum from the HITRAN database for 200 K
#   (scaled to match mean O2/OH band flux ratios of an XSHOOTER NIR data set)
# Different variability classes are indicated:
# 1: OI5577, 2: NaID, 3: OIred, 4: OH, 5: O2
# Wavelength (vac) [mum]  Flux [phot/sm2as2]  Type
0.314359   0.0033  5                                                            
0.314429   0.0021  1                                                            
0.314459   0.0036  5                                                            
0.314500   0.0056  5                                                            
0.314642   0.0058  5                                                            
0.314683   0.0029  5                                                            
0.314812   0.0012  1                                                            
0.314870   0.0050  5                                                            
0.314890   0.0017  5                                                            
0.314911   0.0032  5                                                            
0.315140   0.0053  5                                                            
0.315161   0.0020  5                                                            
0.315182   0.0041  5                                                            
0.315457   0.0037  5                                                            
0.315475   0.0014  5                                                            
0.315499   0.0036  5                                                            
0.316497   0.0014  5                                                            
0.317053   0.0023  5                                                            
0.317258   0.0028  1                                                            
0.321041   0.0029  5                                                            
0.321070   0.0081  5                                                            
0.321169   0.0017  5                                                            
0.321268   0.0045  5                                                            
0.321291   0.0017  5                                                            
0.321311   0.0042  5                                                            
0.321453   0.0037  5                                                            
0.321474   0.0016  5                                                            
0.321496   0.0028  5                                                            
0.321681   0.0033  5                                                            
0.321701   0.0017  5                                                            
0.321724   0.0032  5                                                            
0.321950   0.0020  5                                                            
0.321957   0.0013  5                                                            
0.321972   0.0010  5                                                            
0.321996   0.0030  5                                                            
0.322265   0.0017  5                                                            
0.322282   0.0032  5                                                            
0.322313   0.0030  5                                                            
0.323080   0.0016  5                                                            
0.323723   0.0009  5                                                            
0.323743   0.0010  5                                                            
0.323975   0.0010  5                                                            
0.325945   0.0013  5                                                            
0.325967   0.0008  5                                                            
0.325981   0.0018  5                                                            
0.326129   0.0005  5                                                            
0.326146   0.0017  5                                                            
0.326191   0.0005  5                                                            
0.326321   0.0015  5                                                            
0.326341   0.0009  5                                                            
0.326364   0.0029  5                                                            
0.326591   0.0018  5                                                            
0.326610   0.0021  5                                                            
0.326632   0.0019  5                                                            
0.326801   0.0013  5                                                            
0.326956   0.0029  5                                                            
0.327283   0.0061  5                                                            
0.327706   0.0022  5                                                            
0.327727   0.0024  5                                                            
0.328183   0.0009  5                                                            
0.328195   0.0004  5                                                            
0.328209   0.0024  5                                                            
0.328235   0.0030  5                                                            
0.328255   0.0009  5                                                            
0.328275   0.0004  1                                                            
0.328670   0.0019  5                                                            
0.328765   0.0020  5                                                            
0.328789   0.0005  5                                                            
0.328812   0.0010  5                                                            
0.328953   0.0015  5                                                            
0.328977   0.0009  5                                                            
0.328998   0.0013  5                                                            
0.329183   0.0012  5                                                            
0.329379   0.0005  5                                                            
0.329408   0.0013  5                                                            
0.329619   0.0038  5                                                            
0.329641   0.0018  5                                                            
0.329661   0.0029  5                                                            
0.329814   0.0045  5                                                            
0.329858   0.0042  5                                                            
0.330056   0.0033  5                                                            
0.330101   0.0034  5                                                            
0.330347   0.0062  5                                                            
0.330365   0.0015  5                                                            
0.330391   0.0027  5                                                            
0.330681   0.0023  5                                                            
0.330703   0.0013  5                                                            
0.330729   0.0023  5                                                            
0.331063   0.0014  5                                                            
0.331087   0.0010  5                                                            
0.331111   0.0033  5                                                            
0.331137   0.0014  5                                                            
0.331181   0.0009  5                                                            
0.331239   0.0007  5                                                            
0.331403   0.0007  5                                                            
0.331424   0.0021  5                                                            
0.331495   0.0012  5                                                            
0.331507   0.0011  5                                                            
0.332005   0.0024  5                                                            
0.332481   0.0024  5                                                            
0.332749   0.0014  5                                                            
0.332910   0.0018  5                                                            
0.332977   0.0006  1                                                            
0.333111   0.0011  5                                                            
0.333157   0.0021  5                                                            
0.333411   0.0010  5                                                            
0.333578   0.0008  5                                                            
0.333685   0.0009  5                                                            
0.336947   0.0019  5                                                            
0.336987   0.0029  5                                                            
0.337003   0.0019  5                                                            
0.337043   0.0016  5                                                            
0.337108   0.0031  5                                                            
0.337132   0.0009  5                                                            
0.337154   0.0028  5                                                            
0.337304   0.0040  5                                                            
0.337331   0.0020  5                                                            
0.337351   0.0028  5                                                            
0.337416   0.0011  5                                                            
0.337456   0.0011  5                                                            
0.337548   0.0047  5                                                            
0.337572   0.0008  5                                                            
0.337594   0.0035  5                                                            
0.337691   0.0019  5                                                            
0.337736   0.0025  5                                                            
0.337838   0.0024  5                                                            
0.337844   0.0020  5                                                            
0.337858   0.0018  5                                                            
0.337887   0.0033  5                                                            
0.337897   0.0009  5                                                            
0.338072   0.0012  5                                                            
0.338172   0.0004  5                                                            
0.338183   0.0013  5                                                            
0.338196   0.0007  5                                                            
0.338223   0.0028  5                                                            
0.338267   0.0013  5                                                            
0.338282   0.0007  5                                                            
0.338474   0.0008  5                                                            
0.338556   0.0010  5                                                            
0.338571   0.0001  5                                                            
0.338609   0.0019  5                                                            
0.338643   0.0013  5                                                            
0.342131   0.0016  5                                                            
0.342179   0.0018  5                                                            
0.342418   0.0014  5                                                            
0.342467   0.0015  5                                                            
0.343160   0.0013  5                                                            
0.343209   0.0012  5                                                            
0.343557   0.0008  5                                                            
0.343630   0.0012  5                                                            
0.343664   0.0044  5                                                            
0.345084   0.0012  5                                                            
0.345166   0.0007  5                                                            
0.345228   0.0016  5                                                            
0.345251   0.0010  5                                                            
0.345270   0.0020  5                                                            
0.345373   0.0027  5                                                            
0.345399   0.0007  5                                                            
0.345423   0.0018  5                                                            
0.345546   0.0017  5                                                            
0.345572   0.0016  5                                                            
0.345595   0.0011  5                                                            
0.345621   0.0015  5                                                            
0.345708   0.0005  5                                                            
0.345796   0.0006  5                                                            
0.345816   0.0027  5                                                            
0.345840   0.0012  5                                                            
0.345867   0.0018  5                                                            
0.346109   0.0028  5                                                            
0.346133   0.0009  5                                                            
0.346160   0.0015  5                                                            
0.346503   0.0014  5                                                            
0.347896   0.0009  5                                                            
0.347927   0.0014  5                                                            
0.347974   0.0016  5                                                            
0.348003   0.0013  5                                                            
0.348036   0.0017  5                                                            
0.348061   0.0019  5                                                            
0.348096   0.0008  5                                                            
0.348116   0.0017  5                                                            
0.348140   0.0009  5                                                            
0.348158   0.0008  5                                                            
0.348175   0.0013  5                                                            
0.348201   0.0019  5                                                            
0.348214   0.0031  5                                                            
0.348237   0.0012  5                                                            
0.348321   0.0018  5                                                            
0.348346   0.0045  5                                                            
0.348371   0.0019  5                                                            
0.348391   0.0024  5                                                            
0.348449   0.0015  5                                                            
0.348478   0.0018  5                                                            
0.348570   0.0026  5                                                            
0.348594   0.0028  5                                                            
0.348620   0.0050  5                                                            
0.348754   0.0011  5                                                            
0.348785   0.0020  5                                                            
0.348852   0.0025  5                                                            
0.348875   0.0016  5                                                            
0.348902   0.0034  5                                                            
0.348929   0.0018  5                                                            
0.348962   0.0018  5                                                            
0.349158   0.0020  5                                                            
0.349238   0.0029  5                                                            
0.349368   0.0015  5                                                            
0.349595   0.0050  5                                                            
0.349839   0.0016  5                                                            
0.350077   0.0013  5                                                            
0.350336   0.0010  5                                                            
0.350376   0.0013  5                                                            
0.350581   0.0008  5                                                            
0.350632   0.0006  5                                                            
0.350672   0.0012  5                                                            
0.350992   0.0009  5                                                            
0.351085   0.0010  5                                                            
0.351312   0.0014  5                                                            
0.351396   0.0004  5                                                            
0.351822   0.0020  1                                                            
0.352186   0.0009  1                                                            
0.354191   0.0011  5                                                            
0.354343   0.0022  5                                                            
0.354387   0.0018  5                                                            
0.354522   0.0027  5                                                            
0.354562   0.0023  5                                                            
0.354616   0.0014  5                                                            
0.354656   0.0007  5                                                            
0.354722   0.0024  5                                                            
0.354768   0.0029  5                                                            
0.354822   0.0009  5                                                            
0.354895   0.0027  5                                                            
0.354985   0.0007  5                                                            
0.355037   0.0020  5                                                            
0.355139   0.0018  5                                                            
0.355194   0.0023  5                                                            
0.355369   0.0015  5                                                            
0.355420   0.0010  5                                                            
0.355499   0.0026  5                                                            
0.355539   0.0010  5                                                            
0.355561   0.0020  5                                                            
0.355579   0.0007  5                                                            
0.355615   0.0005  5                                                            
0.355660   0.0019  5                                                            
0.355690   0.0009  5                                                            
0.355710   0.0032  5                                                            
0.355768   0.0014  5                                                            
0.355790   0.0003  5                                                            
0.355886   0.0021  5                                                            
0.355913   0.0014  5                                                            
0.355938   0.0027  5                                                            
0.355993   0.0010  5                                                            
0.356166   0.0029  5                                                            
0.356191   0.0008  5                                                            
0.356218   0.0025  5                                                            
0.356232   0.0016  5                                                            
0.356259   0.0008  5                                                            
0.356418   0.0009  5                                                            
0.356494   0.0074  5                                                            
0.356522   0.0028  5                                                            
0.356552   0.0016  5                                                            
0.356761   0.0012  5                                                            
0.356884   0.0023  5                                                            
0.356894   0.0008  5                                                            
0.356939   0.0019  5                                                            
0.357880   0.0011  5                                                            
0.358376   0.0011  5                                                            
0.361638   0.0016  5                                                            
0.361665   0.0017  5                                                            
0.361707   0.0024  5                                                            
0.361765   0.0012  5                                                            
0.361810   0.0011  5                                                            
0.361839   0.0018  5                                                            
0.361889   0.0015  5                                                            
0.361929   0.0018  5                                                            
0.361983   0.0012  5                                                            
0.362035   0.0015  5                                                            
0.362092   0.0015  5                                                            
0.362156   0.0014  5                                                            
0.362219   0.0017  5                                                            
0.362294   0.0011  5                                                            
0.362361   0.0014  5                                                            
0.362447   0.0009  5                                                            
0.362519   0.0017  5                                                            
0.362616   0.0001  5                                                            
0.362693   0.0011  5                                                            
0.362884   0.0021  5                                                            
0.363004   0.0014  5                                                            
0.363089   0.0030  5                                                            
0.363313   0.0021  5                                                            
0.363335   0.0015  5                                                            
0.363441   0.0011  5                                                            
0.363498   0.0019  5                                                            
0.363551   0.0017  5                                                            
0.363656   0.0022  5                                                            
0.363710   0.0024  5                                                            
0.363805   0.0010  5                                                            
0.363921   0.0015  5                                                            
0.363946   0.0005  5                                                            
0.363974   0.0023  5                                                            
0.364076   0.0009  5                                                            
0.364155   0.0009  5                                                            
0.364231   0.0013  5                                                            
0.364257   0.0015  5                                                            
0.364289   0.0013  5                                                            
0.364363   0.0012  5                                                            
0.364432   0.0017  5                                                            
0.364654   0.0006  5                                                            
0.364667   0.0012  5                                                            
0.365009   0.0007  5                                                            
0.365037   0.0007  5                                                            
0.365071   0.0006  5                                                            
0.366584   0.0007  5                                                            
0.366914   0.0005  5                                                            
0.367086   0.0012  5                                                            
0.367446   0.0006  5                                                            
0.367713   0.0012  5                                                            
0.369890   0.0010  5                                                            
0.369915   0.0014  5                                                            
0.369955   0.0020  5                                                            
0.370013   0.0009  5                                                            
0.370066   0.0012  5                                                            
0.370086   0.0011  5                                                            
0.370146   0.0011  5                                                            
0.370174   0.0012  5                                                            
0.370242   0.0013  5                                                            
0.370278   0.0016  5                                                            
0.370351   0.0012  5                                                            
0.370398   0.0008  5                                                            
0.370478   0.0014  5                                                            
0.370533   0.0013  5                                                            
0.370620   0.0014  5                                                            
0.370686   0.0005  5                                                            
0.370778   0.0013  5                                                            
0.370855   0.0009  5                                                            
0.370953   0.0014  5                                                            
0.371040   0.0007  5                                                            
0.371144   0.0013  5                                                            
0.371223   0.0006  1                                                            
0.371241   0.0005  5                                                            
0.371574   0.0014  5                                                            
0.371810   0.0009  5                                                            
0.372066   0.0007  5                                                            
0.372339   0.0014  5                                                            
0.372932   0.0012  5                                                            
0.373242   0.0011  5                                                            
0.373270   0.0011  5                                                            
0.373421   0.0013  5                                                            
0.373464   0.0010  5                                                            
0.373508   0.0008  5                                                            
0.373527   0.0017  5                                                            
0.373560   0.0014  5                                                            
0.373587   0.0014  5                                                            
0.373611   0.0005  5                                                            
0.373677   0.0006  5                                                            
0.373743   0.0009  5                                                            
0.373804   0.0021  5                                                            
0.373868   0.0008  5                                                            
0.373886   0.0011  5                                                            
0.373915   0.0007  5                                                            
0.373958   0.0020  5                                                            
0.373989   0.0005  5                                                            
0.374016   0.0031  5                                                            
0.374037   0.0019  5                                                            
0.374067   0.0036  5                                                            
0.374084   0.0012  5                                                            
0.374095   0.0002  1                                                            
0.374213   0.0024  5                                                            
0.374269   0.0019  5                                                            
0.374459   0.0026  5                                                            
0.374486   0.0011  5                                                            
0.374512   0.0030  5                                                            
0.374757   0.0031  5                                                            
0.374784   0.0011  5                                                            
0.374814   0.0017  5                                                            
0.375117   0.0008  5                                                            
0.375142   0.0001  5                                                            
0.375173   0.0013  5                                                            
0.375528   0.0009  5                                                            
0.375557   0.0007  5                                                            
0.375590   0.0023  5                                                            
0.375886   0.0004  5                                                            
0.375930   0.0005  5                                                            
0.376001   0.0011  5                                                            
0.376016   0.0002  5                                                            
0.376030   0.0006  5                                                            
0.376065   0.0007  5                                                            
0.376534   0.0020  5                                                            
0.376601   0.0005  5                                                            
0.376700   0.0008  1                                                            
0.377127   0.0006  5                                                            
0.377147   0.0002  5                                                            
0.377163   0.0001  1                                                            
0.377339   0.0004  5                                                            
0.377404   0.0007  5                                                            
0.377450   0.0012  5                                                            
0.377601   0.0039  5                                                            
0.377630   0.0013  5                                                            
0.377655   0.0007  5                                                            
0.377869   0.0014  5                                                            
0.377926   0.0013  5                                                            
0.378200   0.0008  5                                                            
0.378228   0.0009  5                                                            
0.378257   0.0010  5                                                            
0.378596   0.0040  5                                                            
0.378653   0.0006  5                                                            
0.379115   0.0012  5                                                            
0.379234   0.0009  5                                                            
0.379304   0.0017  5                                                            
0.379363   0.0002  5                                                            
0.379393   0.0007  5                                                            
0.379583   0.0010  5                                                            
0.379616   0.0013  5                                                            
0.379645   0.0009  5                                                            
0.379751   0.0011  5                                                            
0.379842   0.0001  1                                                            
0.379855   0.0006  5                                                            
0.379903   0.0003  5                                                            
0.380017   0.0003  5                                                            
0.380072   0.0005  5                                                            
0.380190   0.0008  5                                                            
0.380258   0.0008  5                                                            
0.381056   0.0007  5                                                            
0.381377   0.0010  5                                                            
0.381451   0.0015  5                                                            
0.381514   0.0012  5                                                            
0.381592   0.0029  5                                                            
0.381652   0.0009  5                                                            
0.381689   0.0027  5                                                            
0.381754   0.0005  5                                                            
0.381804   0.0026  5                                                            
0.381884   0.0001  5                                                            
0.381933   0.0008  5                                                            
0.382008   0.0014  5                                                            
0.382077   0.0011  5                                                            
0.382159   0.0025  5                                                            
0.382188   0.0007  5                                                            
0.382245   0.0011  5                                                            
0.382274   0.0003  1                                                            
0.382314   0.0005  5                                                            
0.382332   0.0014  5                                                            
0.382365   0.0004  5                                                            
0.382430   0.0013  5                                                            
0.382521   0.0014  5                                                            
0.382537   0.0004  5                                                            
0.382629   0.0011  5                                                            
0.382727   0.0017  5                                                            
0.382773   0.0005  5                                                            
0.382813   0.0007  5                                                            
0.382848   0.0007  5                                                            
0.382950   0.0012  5                                                            
0.382966   0.0008  5                                                            
0.383022   0.0010  5                                                            
0.383064   0.0013  5                                                            
0.383123   0.0005  5                                                            
0.383141   0.0014  5                                                            
0.383172   0.0021  5                                                            
0.383192   0.0033  5                                                            
0.383207   0.0007  5                                                            
0.383234   0.0007  5                                                            
0.383319   0.0029  5                                                            
0.383352   0.0009  5                                                            
0.383378   0.0024  5                                                            
0.383400   0.0019  5                                                            
0.383447   0.0006  5                                                            
0.383463   0.0009  5                                                            
0.383562   0.0030  5                                                            
0.383619   0.0016  5                                                            
0.383860   0.0038  5                                                            
0.383890   0.0023  5                                                            
0.383920   0.0023  5                                                            
0.384017   0.0011  5                                                            
0.384246   0.0012  5                                                            
0.384279   0.0022  5                                                            
0.384325   0.0010  5                                                            
0.384629   0.0009  5                                                            
0.384643   0.0007  5                                                            
0.384659   0.0014  5                                                            
0.384699   0.0036  5                                                            
0.384829   0.0008  5                                                            
0.384860   0.0021  5                                                            
0.384926   0.0009  5                                                            
0.385002   0.0004  5                                                            
0.385102   0.0008  5                                                            
0.385120   0.0005  5                                                            
0.385135   0.0011  5                                                            
0.385170   0.0016  5                                                            
0.385197   0.0007  5                                                            
0.385364   0.0000  5                                                            
0.385524   0.0004  1                                                            
0.385634   0.0013  5                                                            
0.385704   0.0013  5                                                            
0.386571   0.0011  1                                                            
0.386629   0.0004  5                                                            
0.387671   0.0010  5                                                            
0.388401   0.0009  1                                                            
0.388974   0.0047  3                                                            
0.389117   0.0008  5                                                            
0.390569   0.0023  5                                                            
0.390595   0.0021  5                                                            
0.390640   0.0014  5                                                            
0.390698   0.0011  5                                                            
0.390763   0.0019  5                                                            
0.390776   0.0013  5                                                            
0.390848   0.0015  5                                                            
0.390872   0.0027  5                                                            
0.390950   0.0020  5                                                            
