          40	         181
0.300000	0.350000	0.400000	0.450000	0.500000	0.550000	0.600000	0.650000	0.700000	0.750000	0.800000	0.850000	0.900000	0.950000	1.00000	1.10000	1.20000	1.30000	1.40000	1.50000	1.60000	1.70000	1.80000	1.90000	2.00000	2.50000	3.00000	4.00000	5.00000	6.00000	7.00000	8.00000	9.00000	10.0000	12.5000	15.0000	17.5000	20.0000	25.0000	30.0000
0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180
264.86043	158.41028	57.646945	35.665194	27.984949	24.552040	22.460332	20.869965	19.601815	18.467529	17.425886	16.433979	15.494904	14.590557	13.718323	12.876733	12.061356	11.278632	10.527098	9.8078496	9.1211855	8.4665728	7.8465744	7.2577773	6.7045995	6.1813739	5.6929019	5.2339232	4.8064001	4.4074628	4.0363024	3.6929183	3.3739836	3.0803578	2.8087796	2.5591317	2.3301652	2.1194692	1.9273716	1.7512848	1.5907981	1.4447826	1.3114969	1.1909875	1.0813904	0.98232285	0.89270230	0.81159771	0.73880546	0.67301419	0.61384902	0.56092011	0.51306647	0.47047467	0.43223037	0.39791035	0.36736287	0.33994271	0.31551278	0.29365589	0.27412073	0.25667211	0.24102798	0.22703062	0.21451265	0.20321447	0.19304855	0.18391138	0.17559121	0.16804948	0.16116127	0.15484613	0.14909502	0.14371371	0.13874375	0.13408906	0.12978307	0.12569746	0.12182854	0.11817471	0.11469728	0.11137466	0.10820848	0.10514622	0.10222919	0.099415269	0.096704021	0.094085433	0.091588703	0.089153695	0.086816965	0.084570083	0.082414415	0.080332602	0.078338039	0.076441146	0.074612435	0.072876714	0.071214614	0.069634980	0.068139646	0.066727991	0.065393586	0.064138216	0.062960028	0.061857172	0.060822753	0.059873542	0.059002207	0.058182188	0.057461899	0.056803017	0.056214314	0.055698345	0.055238948	0.054848426	0.054531381	0.054274971	0.054121182	0.054032406	0.054065265	0.054199431	0.054432541	0.054812951	0.055332815	0.056014112	0.056847878	0.057873120	0.059143872	0.060646571	0.062455091	0.064533586	0.066831533	0.069423850	0.071967528	0.074750448	0.076645180	0.078366793	0.079291027	0.079112655	0.078235417	0.076807852	0.075179507	0.073943726	0.073297767	0.072977278	0.073095590	0.073281259	0.073352859	0.073410811	0.073679314	0.074107799	0.074519368	0.074872191	0.075482605	0.076269123	0.077025486	0.077750817	0.078638039	0.079783795	0.081088617	0.082364691	0.083729307	0.085359339	0.087113888	0.088948549	0.090815644	0.092791173	0.094904029	0.096976310	0.098731232	0.10031369	0.10176082	0.10265891	0.10435541	0.10793262	0.11291309	0.11880778	0.12726294	0.13666076	0.17059347
232.49855	157.74808	64.071011	35.395829	26.270705	22.236931	19.849833	18.302222	17.101294	16.080356	15.173380	14.353706	13.578650	12.856612	12.157261	11.484806	10.841161	10.216634	9.6238323	9.0470978	8.5001086	7.9710373	7.4682901	6.9858450	6.5274643	6.0916358	5.6786796	5.2877147	4.9179007	4.5696987	4.2413918	3.9334409	3.6438430	3.3729563	3.1191085	2.8822338	2.6610488	2.4552677	2.2638000	2.0856006	1.9203214	1.7671867	1.6255466	1.4942498	1.3733355	1.2611713	1.1585222	1.0633869	0.97631788	0.89583584	0.82255616	0.75476510	0.69306781	0.63636427	0.58464552	0.53726590	0.49414898	0.45475830	0.41888195	0.38624460	0.35650351	0.32954131	0.30496698	0.28279020	0.26259395	0.24429766	0.22774048	0.21273928	0.19920423	0.18693365	0.17583177	0.16581774	0.15676515	0.14857533	0.14117873	0.13451344	0.12844153	0.12300975	0.11801287	0.11356055	0.10947523	0.10580744	0.10241870	0.099371605	0.096561325	0.094026789	0.091671045	0.089535125	0.087514684	0.085700718	0.084004429	0.082426783	0.080931882	0.079576498	0.078269336	0.077055370	0.075914701	0.074815840	0.073795496	0.072810564	0.071879018	0.070983995	0.070125064	0.069316382	0.068533466	0.067787845	0.067071137	0.066385553	0.065752815	0.065132612	0.064545316	0.063995585	0.063472980	0.062981353	0.062539191	0.062130580	0.061763447	0.061471256	0.061243397	0.061090770	0.061043129	0.061073711	0.061233501	0.061481323	0.061898008	0.062451533	0.063177922	0.064082276	0.065189593	0.066686473	0.068232006	0.070208875	0.072345974	0.074851789	0.077080661	0.079599529	0.081653284	0.083316381	0.084270764	0.084392153	0.083724684	0.082527282	0.080970375	0.079030895	0.077669108	0.076959615	0.076707609	0.076580748	0.076696848	0.076759306	0.076897900	0.077104757	0.077591952	0.078082161	0.078485878	0.079203370	0.080058641	0.081058686	0.081938560	0.083099215	0.084497506	0.086034298	0.087567768	0.089229685	0.091207644	0.093176022	0.095082550	0.097161800	0.099394912	0.10174575	0.10375825	0.10562279	0.10720131	0.10807245	0.11019838	0.11328772	0.11960474	0.12578801	0.13244982	0.14588345	0.17843874
210.67786	155.64137	72.109189	36.774040	26.182292	20.947159	18.376372	16.639760	15.407043	14.404897	13.572556	12.800879	12.126395	11.494138	10.890703	10.326870	9.7823795	9.2561600	8.7620625	8.2791968	7.8232747	7.3845977	6.9618140	6.5622621	6.1751396	5.8092408	5.4583677	5.1239189	4.8079251	4.5054352	4.2217441	3.9501216	3.6952313	3.4534845	3.2258531	3.0115689	2.8086611	2.6191914	2.4398631	2.2727621	2.1150347	1.9678064	1.8296656	1.7008067	1.5800113	1.4674107	1.3624680	1.2642147	1.1733610	1.0882005	1.0092985	0.93574405	0.86777280	0.80437832	0.74578822	0.69132215	0.64102105	0.59440648	0.55126462	0.51149069	0.47457374	0.44071135	0.40922177	0.38045963	0.35373900	0.32923458	0.30663132	0.28586256	0.26675984	0.24918790	0.23309777	0.21824319	0.20465228	0.19216006	0.18076945	0.17023470	0.16062551	0.15182259	0.14376501	0.13635603	0.12960333	0.12341756	0.11771601	0.11255177	0.10781189	0.10344443	0.099459583	0.095834132	0.092487179	0.089438708	0.086656298	0.084085030	0.081737857	0.079605486	0.077648344	0.075858551	0.074213451	0.072713754	0.071334334	0.070061478	0.068931695	0.067876714	0.066914733	0.066044197	0.065278533	0.064571369	0.063953313	0.063399084	0.062885559	0.062459974	0.062094513	0.061767114	0.061524213	0.061323936	0.061211131	0.061161779	0.061192190	0.061317086	0.061512890	0.061825508	0.062242784	0.062772005	0.063429022	0.064215430	0.065153260	0.066253273	0.067530052	0.069048196	0.070743249	0.072740295	0.074968565	0.077546182	0.080096567	0.083100747	0.086028543	0.088972100	0.091670993	0.093917954	0.095431668	0.096389612	0.096766928	0.096011695	0.094951837	0.093772870	0.092582568	0.091520156	0.091039245	0.091056579	0.091584635	0.092250960	0.092732465	0.092985901	0.093474636	0.094458226	0.095470524	0.096164350	0.097232999	0.098527468	0.099955623	0.10133382	0.10280496	0.10447380	0.10638039	0.10843882	0.11036839	0.11246293	0.11482696	0.11732629	0.11957696	0.12208574	0.12461394	0.12712952	0.12855510	0.12999363	0.13178057	0.13671433	0.14166341	0.15041959	0.15346028	0.17251909	0.20332895
195.41245	153.30139	80.084118	39.898165	26.898580	20.824894	17.624022	15.736618	14.353214	13.332950	12.493043	11.774899	11.098955	10.509617	9.9664644	9.4444615	8.9628569	8.5075163	8.0629153	7.6449308	7.2468467	6.8572538	6.4941624	6.1447776	5.8082510	5.4925617	5.1862397	4.8961258	4.6218518	4.3567913	4.1074837	3.8690221	3.6418896	3.4286847	3.2236624	3.0311503	2.8485049	2.6748776	2.5123734	2.3569722	2.2114845	2.0741488	1.9439586	1.8221536	1.7065330	1.5986086	1.4966517	1.4007955	1.3110536	1.2261333	1.1473158	1.0728600	1.0030783	0.93797667	0.87671012	0.81964828	0.76608631	0.71606933	0.66940171	0.62562187	0.58495806	0.54689356	0.51135663	0.47837304	0.44740908	0.41875551	0.39196273	0.36701748	0.34386361	0.32225763	0.30220330	0.28352831	0.26618298	0.25003068	0.23506998	0.22116514	0.20821342	0.19621652	0.18508700	0.17472694	0.16517015	0.15625971	0.14800735	0.14034199	0.13326862	0.12667598	0.12058714	0.11494031	0.10970080	0.10484902	0.10037783	0.096224330	0.092368959	0.088837640	0.085551332	0.082523121	0.079725854	0.077149943	0.074769790	0.072595649	0.070586901	0.068762892	0.067099722	0.065561764	0.064192489	0.062947234	0.061841210	0.060824854	0.059953816	0.059166344	0.058496782	0.057937921	0.057488133	0.057128545	0.056912151	0.056791586	0.056791570	0.056941918	0.057186443	0.057592915	0.058104655	0.058769654	0.059608015	0.060596810	0.061765132	0.063110246	0.064676461	0.066449383	0.068554162	0.070894664	0.073338458	0.076271196	0.079295431	0.082613088	0.085828371	0.089071677	0.092248725	0.094789847	0.097306173	0.098466449	0.099060034	0.099444172	0.098912165	0.097899132	0.096684122	0.095816717	0.095149112	0.094993685	0.095241577	0.096032471	0.096956274	0.097545984	0.098191248	0.099086332	0.10023506	0.10155558	0.10256238	0.10374803	0.10537986	0.10730121	0.10883952	0.11042208	0.11251487	0.11499245	0.11726679	0.11930159	0.12179577	0.12445376	0.12757329	0.13022911	0.13339009	0.13585092	0.13831957	0.13954093	0.14188907	0.14671772	0.15222898	0.16182251	0.16261224	0.18833322	0.21896249
185.56065	152.11510	87.803136	44.599390	28.139483	21.445314	17.583431	15.422297	13.845482	12.683295	11.826434	11.085455	10.435138	9.8524259	9.3325468	8.8364761	8.3645375	7.9400168	7.5319784	7.1392367	6.7789928	6.4342836	6.0984591	5.7849603	5.4870122	5.1967676	4.9249736	4.6660589	4.4142858	4.1794276	3.9554977	3.7390795	3.5367846	3.3430279	3.1578060	2.9844814	2.8180603	2.6601048	2.5112600	2.3686561	2.2346073	2.1076861	1.9863644	1.8725701	1.7645286	1.6619358	1.5657195	1.4740988	1.3876543	1.3066783	1.2294671	1.1568753	1.0887462	1.0238888	0.96322888	0.90618097	0.85204134	0.80139422	0.75362952	0.70866828	0.66654618	0.62674610	0.58950794	0.55451608	0.52149222	0.49070159	0.46174021	0.43447201	0.40899295	0.38502933	0.36258931	0.34162335	0.32188681	0.30339169	0.28611007	0.26989859	0.25472021	0.24050864	0.22720413	0.21475688	0.20307530	0.19218667	0.18201347	0.17242973	0.16349857	0.15516646	0.14735386	0.14005974	0.13323317	0.12685866	0.12090493	0.11534445	0.11014728	0.10530186	0.10080093	0.096561930	0.092614418	0.088986634	0.085605003	0.082436307	0.079492008	0.076796922	0.074287163	0.071958868	0.069838221	0.067858411	0.066052333	0.064420519	0.062927759	0.061583277	0.060395086	0.059377761	0.058459307	0.057692206	0.057123808	0.056650623	0.056334797	0.056197889	0.056189554	0.056342951	0.056663400	0.057194533	0.057862440	0.058675923	0.059799776	0.061050185	0.062547164	0.064411862	0.066328882	0.068746839	0.071443587	0.074009612	0.077257473	0.080693185	0.083919555	0.087174713	0.090203145	0.093269891	0.095484322	0.096984780	0.098405244	0.098438127	0.097911979	0.097421726	0.096095781	0.094583262	0.093564829	0.093428885	0.093500104	0.093389336	0.093845800	0.094639447	0.095632945	0.096637020	0.097368128	0.098014810	0.099068866	0.10083658	0.10245619	0.10379352	0.10530620	0.10736000	0.10974920	0.11167324	0.11386672	0.11636796	0.11917160	0.12206421	0.12499147	0.12910859	0.13242967	0.13571481	0.13822796	0.13890556	0.14188684	0.14520223	0.15445953	0.16225621	0.16274043	0.19252028	0.22122580
177.65786	150.48643	94.218437	50.247522	30.271578	22.474325	18.027659	15.323569	13.658813	12.417908	11.482454	10.685361	9.9743132	9.3927967	8.8736007	8.3759865	7.9246178	7.5189394	7.1335158	6.7585672	6.4104491	6.0888871	5.7740753	5.4737181	5.1976495	4.9308586	4.6737907	4.4366935	4.2098053	3.9894082	3.7844655	3.5905832	3.4021303	3.2251052	3.0583958	2.8967188	2.7439036	2.6005852	2.4624274	2.3313412	2.2080986	2.0893631	1.9769496	1.8718670	1.7705093	1.6740909	1.5841505	1.4978771	1.4159164	1.3391562	1.2656069	1.1960652	1.1308567	1.0683774	1.0094263	0.95411465	0.90125866	0.85146888	0.80465489	0.76007043	0.71811912	0.67854889	0.64094206	0.60562850	0.57240536	0.54086511	0.51113787	0.48319479	0.45674401	0.43183144	0.40844446	0.38631486	0.36543591	0.34586606	0.32740652	0.30996630	0.29362059	0.27819331	0.26364415	0.25004037	0.23714424	0.22499581	0.21366506	0.20296215	0.19287985	0.18339626	0.17448632	0.16614969	0.15829219	0.15089489	0.14394193	0.13739956	0.13128805	0.12554969	0.12012235	0.11505918	0.11032189	0.10587807	0.10173714	0.097835967	0.094217203	0.090833214	0.087649210	0.084726702	0.081967742	0.079401254	0.077072968	0.074906382	0.072903698	0.071081943	0.069452947	0.067989771	0.066687932	0.065563886	0.064603524	0.063810067	0.063193171	0.062757595	0.062487977	0.062406950	0.062502941	0.062761113	0.063226250	0.063942942	0.064883817	0.065970599	0.067387999	0.069082442	0.070935379	0.073273343	0.075722252	0.078328949	0.081712076	0.084761129	0.087520779	0.091271715	0.094449499	0.096665686	0.099326711	0.10111883	0.10199615	0.10278829	0.10212545	0.10086333	0.10006387	0.098810156	0.097375435	0.095992714	0.095085985	0.095117138	0.095297383	0.095880764	0.096809183	0.097082450	0.097447155	0.098519909	0.099763644	0.10086340	0.10165718	0.10314726	0.10556596	0.10735703	0.10894885	0.11107334	0.11352558	0.11652024	0.11908608	0.12203697	0.12637200	0.13020039	0.13434912	0.13832203	0.13997047	0.14225654	0.14405728	0.14728942	0.15772855	0.16136627	0.16527135	0.20097240	0.22937292
168.93630	146.82895	98.384816	55.838290	33.138038	23.727235	18.813286	15.642727	13.734120	12.364595	11.231669	10.374805	9.7010582	9.1057918	8.5625035	8.0641249	7.6200336	7.2165734	6.8212670	6.4466883	6.1139030	5.8010995	5.4933540	5.2079162	4.9479118	4.6966926	4.4538109	4.2295832	4.0186458	3.8125675	3.6180772	3.4384359	3.2645021	3.0961090	2.9402793	2.7929839	2.6495725	2.5145828	2.3881130	2.2656891	2.1492318	2.0406371	1.9365219	1.8364290	1.7426435	1.6537666	1.5682279	1.4874261	1.4112456	1.3381850	1.2689129	1.2037899	1.1414133	1.0819271	1.0261650	0.97314668	0.92240205	0.87466865	0.82948428	0.78621909	0.74546782	0.70715701	0.67047950	0.63565994	0.60303574	0.57203201	0.54246803	0.51470257	0.48848375	0.46347404	0.43989050	0.41771074	0.39662201	0.37667011	0.35789788	0.34007743	0.32320789	0.30738648	0.29241404	0.27817533	0.26479992	0.25221808	0.24026256	0.22899071	0.21840459	0.20836383	0.19886698	0.18995601	0.18156274	0.17361379	0.16609484	0.15904123	0.15242723	0.14616681	0.14027753	0.13475612	0.12952687	0.12463614	0.12007628	0.11573661	0.11167252	0.10791158	0.10434283	0.10098413	0.097884464	0.095002464	0.092317918	0.089815645	0.087517807	0.085443889	0.083532611	0.081807818	0.080299462	0.078931566	0.077754987	0.076813738	0.075996157	0.075344034	0.074934129	0.074688221	0.074640761	0.074801661	0.075096731	0.075701757	0.076609639	0.077557677	0.078840575	0.080639336	0.082448189	0.084464937	0.087097797	0.089733032	0.092503825	0.095977102	0.099138712	0.10183754	0.10517389	0.10819242	0.11014377	0.11213375	0.11350868	0.11351295	0.11348621	0.11303566	0.11112540	0.10924376	0.10808455	0.10680882	0.10554031	0.10441964	0.10374245	0.10427579	0.10520654	0.10548168	0.10569336	0.10626566	0.10709005	0.10827294	0.10939478	0.11034766	0.11213505	0.11478525	0.11700583	0.11874610	0.12088258	0.12353993	0.12701354	0.13110869	0.13509596	0.14011358	0.14553101	0.14869884	0.15145416	0.15353384	0.15287600	0.15849063	0.16954580	0.16989164	0.17723219	0.21662477	0.24439587
163.15664	144.64077	102.18502	61.266227	36.358890	25.116906	19.729175	16.184726	13.824549	12.319052	11.205934	10.313921	9.5771573	8.9145972	8.3298307	7.8384338	7.3895491	6.9530865	6.5557836	6.2071817	5.8808445	5.5633691	5.2667812	4.9976167	4.7438097	4.4959592	4.2620269	4.0485887	3.8459317	3.6472422	3.4608080	3.2899287	3.1255758	2.9658810	2.8176765	2.6795352	2.5452428	2.4168746	2.2981128	2.1854969	2.0761748	1.9727386	1.8760514	1.7834697	1.6946493	1.6111486	1.5320797	1.4559533	1.3837201	1.3159573	1.2510742	1.1886942	1.1301158	1.0748458	1.0214888	0.97070641	0.92322307	0.87789973	0.83428722	0.79327277	0.75462865	0.71748572	0.68214341	0.64893980	0.61732355	0.58712901	0.55870065	0.53181101	0.50604707	0.48159895	0.45866423	0.43690559	0.41607523	0.39637317	0.37785545	0.36024643	0.34348381	0.32770027	0.31277523	0.29854893	0.28510613	0.27245247	0.26043324	0.24902973	0.23828468	0.22813807	0.21852883	0.20942350	0.20080954	0.19271417	0.18508388	0.17782650	0.17097592	0.16455353	0.15848094	0.15275202	0.14737651	0.14228435	0.13748316	0.13301437	0.12880891	0.12483132	0.12111579	0.11763203	0.11436976	0.11136149	0.10855627	0.10592358	0.10352374	0.10134782	0.099343845	0.097536475	0.095936027	0.094511926	0.093282964	0.092264812	0.091423773	0.090764000	0.090312345	0.090030291	0.089920387	0.090093307	0.090518270	0.091047137	0.091829781	0.093044301	0.094417160	0.095891158	0.097879760	0.10022730	0.10256060	0.10530970	0.10848177	0.11132714	0.11429409	0.11800581	0.12118601	0.12326591	0.12573847	0.12845325	0.12960436	0.12952909	0.12952322	0.12916626	0.12798676	0.12637895	0.12439335	0.12229019	0.12071386	0.11964972	0.11905703	0.11909878	0.11914191	0.11886446	0.11923355	0.12053688	0.12157578	0.12179471	0.12231422	0.12409755	0.12632183	0.12800092	0.12988093	0.13261334	0.13553928	0.13859045	0.14202946	0.14581481	0.15105907	0.15746349	0.16236483	0.16645415	0.17051173	0.17033277	0.16947157	0.17746657	0.18519920	0.18287402	0.19592534	0.23956899	0.26708044
156.95780	141.43165	104.50357	66.108430	39.904948	26.651449	20.456941	16.788614	14.270674	12.591425	11.340308	10.282211	9.4398543	8.7889858	8.2135041	7.6675359	7.1829287	6.7699996	6.3985918	6.0420142	5.6996894	5.3856939	5.1033308	4.8365681	4.5739862	4.3262334	4.1038109	3.8962156	3.6915935	3.4970691	3.3214372	3.1572095	2.9959414	2.8429879	2.7036909	2.5719331	2.4427160	2.3207839	2.2091732	2.1028035	1.9986550	1.9004512	1.8098621	1.7232127	1.6388955	1.5594682	1.4854925	1.4144383	1.3457744	1.2812421	1.2206729	1.1623579	1.1064038	1.0538772	1.0041922	0.95629256	0.91060574	0.86771069	0.82695399	0.78776959	0.75056956	0.71552721	0.68208038	0.65002319	0.61973135	0.59118027	0.56386573	0.53769772	0.51300871	0.48974027	0.46748341	0.44621247	0.42618128	0.40726937	0.38916422	0.37191662	0.35569680	0.34035534	0.32569261	0.31175736	0.29860932	0.28616177	0.27434633	0.26315583	0.25255732	0.24250966	0.23299378	0.22399911	0.21550991	0.20747190	0.19983140	0.19262356	0.18587332	0.17948376	0.17339942	0.16768923	0.16234323	0.15726688	0.15247681	0.14801100	0.14379612	0.13981237	0.13612265	0.13267764	0.12940444	0.12637493	0.12362641	0.12106173	0.11866222	0.11650330	0.11457133	0.11281731	0.11126229	0.10991004	0.10873196	0.10775146	0.10698671	0.10639675	0.10598388	0.10580977	0.10585832	0.10605242	0.10645561	0.10722336	0.10827095	0.10937738	0.11071400	0.11261393	0.11481954	0.11695313	0.11942849	0.12257831	0.12570574	0.12846975	0.13169568	0.13547615	0.13865739	0.14107097	0.14364555	0.14618805	0.14769352	0.14817143	0.14811906	0.14756133	0.14661752	0.14536969	0.14343294	0.14103079	0.13911915	0.13786169	0.13689093	0.13644045	0.13641990	0.13616429	0.13609398	0.13709704	0.13847741	0.13913489	0.13957915	0.14085440	0.14300181	0.14533860	0.14739064	0.14981785	0.15356813	0.15764674	0.16088927	0.16518480	0.17175472	0.17792362	0.18310062	0.18942796	0.19329313	0.19111183	0.19129114	0.19919483	0.20258262	0.20035203	0.21963237	0.26595090	0.29267143
148.61012	135.64245	103.96000	69.148262	43.307270	28.884592	21.800516	17.700649	14.773488	12.745973	11.401537	10.372385	9.4740762	8.7139916	8.0996348	7.5860018	7.1264845	6.6949403	6.2856032	5.9114241	5.5806857	5.2765740	4.9784171	4.6913103	4.4329729	4.2018045	3.9799632	3.7620570	3.5598077	3.3787450	3.2088381	3.0421063	2.8839340	2.7403022	2.6064349	2.4759620	2.3511977	2.2365247	2.1294612	2.0254379	1.9254640	1.8328232	1.7464577	1.6630004	1.5824615	1.5071835	1.4369562	1.3693668	1.3040101	1.2425834	1.1852572	1.1302879	1.0770639	1.0266961	0.97958387	0.93469496	0.89139371	0.85021682	0.81153201	0.77473650	0.73928264	0.70552214	0.67384223	0.64376087	0.61471813	0.58702104	0.56108687	0.53651551	0.51279817	0.49015926	0.46892098	0.44880361	0.42946953	0.41105705	0.39373152	0.37729446	0.36155427	0.34661200	0.33255162	0.31920827	0.30643857	0.29432289	0.28292357	0.27211386	0.26179136	0.25200484	0.24277845	0.23404694	0.22577228	0.21793885	0.21051267	0.20350571	0.19692689	0.19069456	0.18477267	0.17923384	0.17405135	0.16910224	0.16441503	0.16008402	0.15602887	0.15215291	0.14853093	0.14520778	0.14209786	0.13918159	0.13651445	0.13408043	0.13184595	0.12982207	0.12799673	0.12636508	0.12495907	0.12375114	0.12269898	0.12185579	0.12124077	0.12077924	0.12049817	0.12048555	0.12067139	0.12099225	0.12158802	0.12251760	0.12361366	0.12487426	0.12656117	0.12868057	0.13085975	0.13304239	0.13575136	0.13914691	0.14251158	0.14547361	0.14874394	0.15255276	0.15587075	0.15840937	0.16119187	0.16405675	0.16554801	0.16588154	0.16646538	0.16673298	0.16535388	0.16334281	0.16217013	0.16093372	0.15857720	0.15615547	0.15477697	0.15416760	0.15402323	0.15421807	0.15425435	0.15435944	0.15544757	0.15710003	0.15806881	0.15881265	0.16072357	0.16352614	0.16615372	0.16891444	0.17247900	0.17658002	0.18133905	0.18732995	0.19376057	0.19996472	0.20720012	0.21422481	0.21593261	0.21330210	0.21533627	0.22213209	0.22267078	0.22207086	0.24486269	0.29019873	0.31492758
