          15	         181
0.300000	0.350000	0.400000	0.450000	0.500000	0.550000	0.600000	0.650000	0.700000	0.750000	0.800000	0.850000	0.900000	0.950000	1.00000
0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180
287.25036	167.31149	53.991918	29.852127	22.001574	18.826193	17.154692	16.033870	15.167107	14.435926	13.757743	13.112391	12.490958	11.873476	11.272900	10.678124	10.096668	9.5254994	8.9689396	8.4276521	7.9036839	7.3989854	6.9124659	6.4473811	6.0027143	5.5806781	5.1799856	4.8017388	4.4452164	4.1101268	3.7963231	3.5027526	3.2304041	2.9757696	2.7409629	2.5228598	2.3226270	2.1374390	1.9679828	1.8125112	1.6704457	1.5409171	1.4224362	1.3152768	1.2175533	1.1295727	1.0496224	0.97742026	0.91251225	0.85355937	0.80088888	0.75319504	0.71044848	0.67177855	0.63682619	0.60552739	0.57698254	0.55145919	0.52804126	0.50664167	0.48719443	0.46922591	0.45271523	0.43725298	0.42283547	0.40936200	0.39646964	0.38441482	0.37279396	0.36165210	0.35085469	0.34035818	0.33029373	0.32035245	0.31068178	0.30113184	0.29190975	0.28272448	0.27373292	0.26490445	0.25644682	0.24823754	0.24017849	0.23218617	0.22442853	0.21691105	0.20946194	0.20209355	0.19477894	0.18778048	0.18099742	0.17426169	0.16782599	0.16170773	0.15597230	0.15046637	0.14530159	0.14047135	0.13599721	0.13185303	0.12815022	0.12471577	0.12170450	0.11895711	0.11662350	0.11460410	0.11288743	0.11148749	0.11041781	0.10965829	0.10918953	0.10898504	0.10903865	0.10936480	0.10999835	0.11081008	0.11180112	0.11304077	0.11456158	0.11620311	0.11801176	0.11994914	0.12203900	0.12428634	0.12667271	0.12913787	0.13168050	0.13432283	0.13705782	0.13985868	0.14269846	0.14556713	0.14847191	0.15137847	0.15428486	0.15716940	0.16004898	0.16289446	0.16572481	0.16848855	0.17120858	0.17383220	0.17639388	0.17890623	0.18130583	0.18368335	0.18599075	0.18826764	0.19058542	0.19299355	0.19556525	0.19845822	0.20191515	0.20636538	0.21209122	0.21949864	0.22930767	0.24113427	0.25496453	0.26880813	0.28048009	0.28750034	0.28813689	0.28379162	0.27848560	0.27568792	0.27899194	0.28694406	0.29560346	0.30515879	0.31773004	0.33212019	0.35098023	0.37160497	0.39281138	0.42577823	0.46235391	0.49759395	0.57027897	0.43850814	0.41135447
222.52777	148.84225	56.626505	28.761959	20.298690	16.812470	14.956895	13.887649	13.087989	12.474276	11.939445	11.437946	10.968162	10.514142	10.068279	9.6324975	9.1990787	8.7709748	8.3541196	7.9413777	7.5399257	7.1460341	6.7623319	6.3913263	6.0302225	5.6839934	5.3486487	5.0286037	4.7207235	4.4271717	4.1474376	3.8806915	3.6279758	3.3884512	3.1630192	2.9488520	2.7487423	2.5595395	2.3829583	2.2166784	2.0619073	1.9167073	1.7820871	1.6561203	1.5395752	1.4307587	1.3306063	1.2371115	1.1510800	1.0713770	0.99797399	0.92984523	0.86751372	0.80994510	0.75722085	0.70849446	0.66383670	0.62257824	0.58485754	0.55020716	0.51847447	0.48910290	0.46224168	0.43765275	0.41524229	0.39429956	0.37518860	0.35746270	0.34121944	0.32611079	0.31232066	0.29943665	0.28762906	0.27661435	0.26640939	0.25691237	0.24799832	0.23971790	0.23207090	0.22496657	0.21847034	0.21226915	0.20652071	0.20094457	0.19591696	0.19099248	0.18621726	0.18168643	0.17733087	0.17310389	0.16932553	0.16550558	0.16172072	0.15835564	0.15516788	0.15213674	0.14926802	0.14657747	0.14407380	0.14186951	0.13984749	0.13782807	0.13604578	0.13448535	0.13298656	0.13171291	0.13055303	0.12945124	0.12850994	0.12769215	0.12699189	0.12641130	0.12592606	0.12552066	0.12521052	0.12496976	0.12475778	0.12469031	0.12462356	0.12462368	0.12474696	0.12491672	0.12514089	0.12539222	0.12571371	0.12604732	0.12641871	0.12679873	0.12721820	0.12770928	0.12825709	0.12884124	0.12939828	0.13000631	0.13064835	0.13129466	0.13199316	0.13270105	0.13343125	0.13419280	0.13502663	0.13585453	0.13668807	0.13759328	0.13861430	0.13963125	0.14082536	0.14210585	0.14361314	0.14546402	0.14770401	0.15045707	0.15402985	0.15858049	0.16464017	0.17235249	0.18214398	0.19368052	0.20683222	0.22046708	0.23259303	0.24142166	0.24563087	0.24516850	0.24080929	0.23748666	0.23676860	0.24229262	0.24990992	0.25933623	0.26932147	0.27951121	0.29635609	0.31215303	0.33666131	0.35791037	0.39558400	0.43116792	0.46377482	0.33854305	0.33537277
188.62580	138.15580	61.551590	29.304820	20.029121	15.706384	13.709676	12.458997	11.681306	11.064217	10.582300	10.156698	9.7653586	9.3869373	9.0348380	8.6847494	8.3417954	8.0083333	7.6762692	7.3469893	7.0275297	6.7096393	6.4004230	6.0991946	5.8023319	5.5153934	5.2353801	4.9632333	4.7024156	4.4481121	4.2051519	3.9710237	3.7454923	3.5316926	3.3252464	3.1292603	2.9422599	2.7641338	2.5958700	2.4351200	2.2841115	2.1403429	2.0051420	1.8773029	1.7566060	1.6436425	1.5369234	1.4373406	1.3434288	1.2558963	1.1736430	1.0969234	1.0254052	0.95843344	0.89624538	0.83799690	0.78405204	0.73375468	0.68725000	0.64419271	0.60394793	0.56685870	0.53232962	0.50066780	0.47113492	0.44397720	0.41886973	0.39569401	0.37434870	0.35470532	0.33665778	0.31985440	0.30453536	0.29044979	0.27756983	0.26558696	0.25469484	0.24463759	0.23559877	0.22739054	0.21973030	0.21277511	0.20648473	0.20073757	0.19530482	0.19013942	0.18552186	0.18115049	0.17712228	0.17329010	0.16948624	0.16622678	0.16335843	0.16029794	0.15746044	0.15492433	0.15265826	0.15057856	0.14861077	0.14663776	0.14484379	0.14332057	0.14181887	0.14034391	0.13915088	0.13792413	0.13679471	0.13573290	0.13473532	0.13379816	0.13291992	0.13209764	0.13133592	0.13059408	0.12987516	0.12921636	0.12861068	0.12795244	0.12738793	0.12688221	0.12633994	0.12585083	0.12541760	0.12501440	0.12464134	0.12425884	0.12393712	0.12368612	0.12342521	0.12319751	0.12298546	0.12282462	0.12269646	0.12266803	0.12266898	0.12271632	0.12281887	0.12300406	0.12322380	0.12349711	0.12382649	0.12428443	0.12479572	0.12543228	0.12625267	0.12719174	0.12831403	0.12968585	0.13137398	0.13339620	0.13597672	0.13921884	0.14348284	0.14866623	0.15536782	0.16368288	0.17399727	0.18581847	0.19904625	0.21276813	0.22546384	0.23579643	0.24145381	0.24344129	0.24104727	0.23770972	0.23490759	0.23768358	0.24224053	0.25275517	0.26131208	0.27421776	0.28448868	0.30550211	0.32195961	0.35512547	0.37514698	0.42952564	0.40829750	0.30640920	0.31363138
166.39424	129.76257	66.075893	31.220720	20.188417	15.256993	12.796138	11.454186	10.551347	9.9394999	9.4492978	9.0601957	8.6977094	8.3755742	8.0776571	7.7884382	7.5034121	7.2286945	6.9601715	6.6901311	6.4299750	6.1754306	5.9210185	5.6724421	5.4307405	5.1914869	4.9593576	4.7337006	4.5113770	4.2978318	4.0909977	3.8892642	3.6963883	3.5092744	3.3281866	3.1558843	2.9892659	2.8295103	2.6773532	2.5310268	2.3921923	2.2593699	2.1324295	2.0127058	1.8979553	1.7892650	1.6864288	1.5885057	1.4967042	1.4094768	1.3269107	1.2494585	1.1758538	1.1067796	1.0417924	0.98047482	0.92318990	0.86894005	0.81837516	0.77100162	0.72640557	0.68497033	0.64577893	0.60931853	0.57529717	0.54346495	0.51385468	0.48595514	0.46010680	0.43605152	0.41361894	0.39282947	0.37345742	0.35524457	0.33855848	0.32313355	0.30869928	0.29541308	0.28292556	0.27148441	0.26092207	0.25132344	0.24219537	0.23360087	0.22571141	0.21828204	0.21139726	0.20485052	0.19872083	0.19292880	0.18774650	0.18263335	0.17781964	0.17358755	0.16938035	0.16548435	0.16202100	0.15871628	0.15554824	0.15268422	0.14999108	0.14741790	0.14509198	0.14288726	0.14081822	0.13904765	0.13722350	0.13550862	0.13400542	0.13253032	0.13119624	0.12989414	0.12865321	0.12762784	0.12669277	0.12567038	0.12474443	0.12399699	0.12324443	0.12254844	0.12190263	0.12127386	0.12074246	0.12026660	0.11983290	0.11947519	0.11919550	0.11894397	0.11878872	0.11866432	0.11858774	0.11858405	0.11864001	0.11873762	0.11891354	0.11916610	0.11954573	0.11999977	0.12050801	0.12116085	0.12182826	0.12263760	0.12358050	0.12469873	0.12597970	0.12747309	0.12923036	0.13125591	0.13355201	0.13634140	0.13978421	0.14399145	0.14908768	0.15546106	0.16315547	0.17236656	0.18341119	0.19573174	0.20979586	0.22372573	0.23711025	0.24858060	0.25617718	0.26026929	0.25950065	0.25708872	0.25312373	0.25372337	0.25801589	0.26500317	0.27780391	0.28717822	0.30406240	0.31724649	0.34264631	0.36887489	0.39438444	0.44555165	0.38301829	0.30855119	0.32251299
151.32635	123.46161	69.955790	34.175319	20.730991	15.377195	12.352913	10.801831	9.8049105	9.1279797	8.6309434	8.2101664	7.8804667	7.5869941	7.3132157	7.0578297	6.8165229	6.5849700	6.3515968	6.1265158	5.9107055	5.6945770	5.4821939	5.2770595	5.0741678	4.8722351	4.6774950	4.4878603	4.2990493	4.1168683	3.9408874	3.7668588	3.5991371	3.4380856	3.2796763	3.1271276	2.9819160	2.8400057	2.7030448	2.5728472	2.4463821	2.3249443	2.2096931	2.0983144	1.9921741	1.8913664	1.7938485	1.7011782	1.6133047	1.5288017	1.4489240	1.3733387	1.3010020	1.2326541	1.1677057	1.1057318	1.0474119	0.99197893	0.93944345	0.89014623	0.84315277	0.79902477	0.75773927	0.71815506	0.68080286	0.64574916	0.61267741	0.58166846	0.55232003	0.52468290	0.49871909	0.47431520	0.45147498	0.42993648	0.40965323	0.39060352	0.37289467	0.35632437	0.34082894	0.32645559	0.31255026	0.29932692	0.28714868	0.27575614	0.26505627	0.25488730	0.24533328	0.23627044	0.22767919	0.21948832	0.21154070	0.20443624	0.19787970	0.19139210	0.18532747	0.17961356	0.17416052	0.16906615	0.16438379	0.15994777	0.15571830	0.15184485	0.14814974	0.14470699	0.14150772	0.13842038	0.13563765	0.13308771	0.13060601	0.12821166	0.12598513	0.12392927	0.12202742	0.12027674	0.11861322	0.11718478	0.11592917	0.11463289	0.11339829	0.11225831	0.11124283	0.11035649	0.10957510	0.10893682	0.10833088	0.10779956	0.10740264	0.10705267	0.10676427	0.10657853	0.10651570	0.10653169	0.10663790	0.10687628	0.10721881	0.10765152	0.10813685	0.10870551	0.10938203	0.11015343	0.11106618	0.11218516	0.11350477	0.11491971	0.11653239	0.11844895	0.12059711	0.12307902	0.12595518	0.12938950	0.13360118	0.13842437	0.14427482	0.15157146	0.15995824	0.17002302	0.18170428	0.19443001	0.20901008	0.22384844	0.23775782	0.25056818	0.25949774	0.26504176	0.26628336	0.26366862	0.26194662	0.25934682	0.26213540	0.27070323	0.27872122	0.29540906	0.30938661	0.32657284	0.35465345	0.36881799	0.41332227	0.44219938	0.35900727	0.30657595	0.32320130
141.63164	119.52820	73.791852	38.139452	22.060111	15.898612	12.486983	10.532253	9.4271913	8.6426156	8.0993656	7.6766209	7.3110881	7.0208476	6.7672923	6.5272893	6.3031622	6.0925650	5.8947699	5.6983900	5.5010471	5.3137970	5.1330241	4.9514835	4.7736260	4.6024618	4.4338128	4.2657846	4.1029670	3.9463425	3.7909427	3.6380260	3.4916734	3.3486609	3.2074292	3.0721405	2.9422009	2.8145425	2.6912469	2.5734138	2.4586428	2.3477246	2.2420539	2.1394421	2.0399208	1.9456974	1.8554028	1.7678769	1.6846241	1.6048634	1.5276260	1.4546041	1.3852916	1.3180878	1.2542010	1.1936989	1.1353346	1.0800592	1.0279746	0.97779942	0.92999464	0.88481119	0.84166686	0.80091800	0.76230486	0.72518526	0.69007456	0.65714535	0.62594413	0.59628109	0.56794053	0.54096902	0.51561369	0.49180253	0.46931001	0.44793013	0.42775693	0.40887483	0.39097125	0.37393125	0.35780825	0.34252742	0.32806160	0.31432808	0.30127907	0.28891978	0.27719478	0.26603947	0.25534821	0.24524013	0.23578766	0.22667011	0.21793745	0.20989204	0.20231355	0.19497861	0.18799755	0.18135294	0.17505002	0.16925174	0.16382415	0.15862104	0.15377133	0.14912367	0.14460884	0.14052288	0.13672950	0.13299013	0.12950531	0.12635328	0.12341209	0.12062776	0.11798251	0.11551271	0.11322508	0.11105168	0.10897191	0.10704216	0.10530912	0.10375280	0.10234510	0.10106670	0.099873783	0.098772591	0.097819338	0.097001789	0.096262208	0.095605965	0.095088132	0.094715139	0.094455136	0.094334257	0.094338614	0.094374701	0.094487616	0.094769853	0.095187180	0.095738371	0.096425582	0.097239613	0.098281992	0.099520285	0.10081211	0.10225738	0.10401037	0.10607702	0.10851034	0.11137635	0.11465862	0.11849926	0.12309593	0.12845530	0.13492721	0.14283800	0.15183553	0.16234919	0.17481234	0.18823377	0.20300061	0.21896480	0.23335179	0.24629754	0.25747095	0.26365403	0.26659737	0.26652227	0.26254810	0.26171526	0.26337686	0.26669489	0.28030528	0.29398749	0.30691380	0.33433118	0.35368168	0.37517108	0.42770365	0.42180359	0.33326451	0.30304782	0.32297309
135.12357	117.03410	77.407381	42.660840	24.248339	16.784819	13.003532	10.614798	9.2654651	8.4100205	7.7710184	7.3100572	6.9375967	6.6197656	6.3639979	6.1334521	5.9099549	5.7074099	5.5232935	5.3456409	5.1698018	4.9975027	4.8340302	4.6763496	4.5163724	4.3580679	4.2084507	4.0625025	3.9152317	3.7715755	3.6348492	3.5008888	3.3674403	3.2379432	3.1138958	2.9922919	2.8724342	2.7570531	2.6460014	2.5371849	2.4317772	2.3310779	2.2331658	2.1375597	2.0462607	1.9588341	1.8735082	1.7911518	1.7127982	1.6373150	1.5643048	1.4946578	1.4279379	1.3633481	1.3016793	1.2432870	1.1870282	1.1327218	1.0811107	1.0317571	0.98427456	0.93934402	0.89666187	0.85538646	0.81613273	0.77929155	0.74393760	0.70987549	0.67754458	0.64668718	0.61726468	0.58957075	0.56322984	0.53796446	0.51414354	0.49182759	0.47058937	0.45017573	0.43074311	0.41241061	0.39484268	0.37789151	0.36194265	0.34699603	0.33267932	0.31895205	0.30577491	0.29312124	0.28122088	0.26998801	0.25922294	0.24903117	0.23928323	0.22987114	0.22104386	0.21267780	0.20455654	0.19693157	0.18982975	0.18302572	0.17651845	0.17029023	0.16443787	0.15911647	0.15402311	0.14898030	0.14430381	0.14000253	0.13583872	0.13187018	0.12817726	0.12475775	0.12161031	0.11859011	0.11565248	0.11297582	0.11057063	0.10825685	0.10598554	0.10388321	0.10205667	0.10044762	0.098945432	0.097527779	0.096219943	0.095078504	0.094095583	0.093158370	0.092311913	0.091690665	0.091222496	0.090844702	0.090618315	0.090515564	0.090525295	0.090670711	0.090893078	0.091267686	0.091916904	0.092726603	0.093631839	0.094770799	0.096184923	0.097815031	0.099657489	0.10178555	0.10435291	0.10741387	0.11091695	0.11508349	0.12021235	0.12619241	0.13311402	0.14159155	0.15154790	0.16258222	0.17550861	0.19038743	0.20559407	0.22138201	0.23802789	0.25221110	0.26302243	0.27217862	0.27667275	0.27612406	0.27541390	0.27295814	0.27085065	0.27862558	0.28942661	0.29853590	0.32171960	0.34814107	0.36196813	0.39803283	0.44200343	0.40660418	0.32557104	0.31647529	0.34013870
130.69450	115.53653	80.795333	47.345231	27.027878	17.918701	13.655495	10.983741	9.3286109	8.3427603	7.6152921	7.0495019	6.6446283	6.3288905	6.0582140	5.8230570	5.6043133	5.3996472	5.2192851	5.0517765	4.8824614	4.7181302	4.5675359	4.4247098	4.2807766	4.1358001	3.9960047	3.8638626	3.7341918	3.6032976	3.4754746	3.3539646	3.2347607	3.1154498	2.9998797	2.8899861	2.7825019	2.6760240	2.5732720	2.4750478	2.3787094	2.2836785	2.1924799	2.1055557	2.0207566	1.9380397	1.8591559	1.7835459	1.7095333	1.6378052	1.5695986	1.5038893	1.4395744	1.3777221	1.3192478	1.2631744	1.2089034	1.1571987	1.1079116	1.0599370	1.0135537	0.96968368	0.92777156	0.88705897	0.84814188	0.81146603	0.77644852	0.74283281	0.71088412	0.68035319	0.65082909	0.62260233	0.59606682	0.57087324	0.54656228	0.52338240	0.50158937	0.48073262	0.46054686	0.44148315	0.42367255	0.40660069	0.38999813	0.37396184	0.35860200	0.34414837	0.33060780	0.31751300	0.30477807	0.29282332	0.28149034	0.27029127	0.25950574	0.24961558	0.24038611	0.23144286	0.22281481	0.21460091	0.20683539	0.19951072	0.19249968	0.18576622	0.17941383	0.17341908	0.16773840	0.16240798	0.15732599	0.15243459	0.14790283	0.14373669	0.13975047	0.13593190	0.13230940	0.12884147	0.12560097	0.12260296	0.11974787	0.11711874	0.11479811	0.11263883	0.11058918	0.10872124	0.10697742	0.10532493	0.10379677	0.10233925	0.10100705	0.099974332	0.099224863	0.098621504	0.098082547	0.097546041	0.097063845	0.096774474	0.096689373	0.096774398	0.097038512	0.097428076	0.097929844	0.098640774	0.099626253	0.10090361	0.10241065	0.10405332	0.10596381	0.10829183	0.11096084	0.11414935	0.11818496	0.12290375	0.12830989	0.13496081	0.14279138	0.15149925	0.16188413	0.17433193	0.18792805	0.20292453	0.22004812	0.23738014	0.25334466	0.26919648	0.28336299	0.29182063	0.29631664	0.29966209	0.29861398	0.29534633	0.29826183	0.30370931	0.30755166	0.32367379	0.35145478	0.36812934	0.38738413	0.43615192	0.46219594	0.40508365	0.33332317	0.33648757	0.36055272
127.57514	114.62293	83.838836	51.894434	30.199627	19.357568	14.400791	11.515421	9.5719563	8.3593191	7.5573848	6.9385359	6.4741783	6.1315437	5.8357985	5.5649587	5.3365388	5.1456486	4.9712574	4.8031724	4.6402074	4.4846812	4.3406704	4.2053892	4.0696806	3.9321174	3.8006460	3.6779917	3.5577334	3.4361860	3.3175084	3.2052347	3.0966801	2.9882881	2.8813755	2.7792695	2.6814183	2.5844384	2.4881155	2.3956712	2.3077979	2.2215230	2.1358404	2.0532737	1.9748958	1.8988000	1.8242686	1.7527904	1.6844933	1.6177233	1.5523113	1.4896988	1.4299534	1.3717723	1.3151962	1.2615402	1.2108360	1.1617693	1.1139294	1.0679910	1.0239931	0.98135692	0.94021299	0.90110127	0.86383878	0.82791508	0.79344517	0.76082228	0.72986171	0.69993998	0.67085739	0.64307784	0.61689311	0.59188483	0.56774002	0.54479791	0.52313482	0.50222619	0.48203098	0.46302351	0.44506408	0.42766602	0.41090327	0.39490122	0.37943123	0.36461400	0.35073306	0.33746884	0.32454267	0.31228585	0.30070347	0.28930996	0.27823053	0.26801653	0.25856154	0.24940680	0.24053725	0.23210640	0.22407140	0.21641068	0.20915919	0.20226818	0.19569790	0.18945475	0.18353232	0.17794138	0.17266714	0.16765131	0.16293746	0.15860766	0.15455651	0.15061453	0.14679324	0.14319490	0.13984424	0.13670463	0.13374791	0.13101874	0.12858990	0.12639688	0.12429733	0.12228780	0.12042483	0.11868220	0.11707534	0.11566004	0.11438916	0.11326588	0.11242009	0.11180673	0.11122598	0.11069027	0.11031826	0.11005582	0.10988534	0.10994544	0.11025394	0.11072255	0.11137426	0.11222965	0.11326218	0.11456320	0.11618763	0.11803325	0.12016162	0.12278530	0.12588410	0.12943808	0.13376574	0.13903826	0.14509224	0.15215857	0.16078334	0.17081042	0.18178372	0.19432708	0.20933447	0.22600088	0.24297394	0.26072874	0.27948844	0.29640047	0.30934273	0.32018978	0.32888950	0.33140760	0.32958695	0.33084732	0.33391826	0.33425147	0.34175294	0.36396916	0.38437678	0.39720507	0.43147927	0.48467439	0.48841058	0.41677741	0.35426018	0.36514362	0.38873538
123.20679	112.17796	85.208110	55.534370	33.503139	21.283387	15.432276	12.196887	9.9707506	8.4888246	7.5703212	6.9213945	6.3938963	5.9784208	5.6573304	5.3907810	5.1623273	4.9650272	4.7805204	4.5993696	4.4322027	4.2860812	4.1503035	4.0129817	3.8761530	3.7481748	3.6304033	3.5165345	3.4011993	3.2856905	3.1751454	3.0712221	2.9698557	2.8674890	2.7664529	2.6709215	2.5800336	2.4895804	2.3990868	2.3121688	2.2300756	2.1498584	2.0698265	1.9923337	1.9194181	1.8493515	1.7797436	1.7112700	1.6459418	1.5836572	1.5228234	1.4632344	1.4061942	1.3522132	1.3002755	1.2494652	1.2000857	1.1527660	1.1073063	1.0631142	1.0203147	0.97954794	0.94082154	0.90352917	0.86759346	0.83347519	0.80093235	0.76905802	0.73781548	0.70819501	0.68052648	0.65400915	0.62822604	0.60370267	0.58063340	0.55840516	0.53672265	0.51602705	0.49655255	0.47792006	0.45982203	0.44239928	0.42586296	0.41016912	0.39506023	0.38030598	0.36599510	0.35247271	0.33984748	0.32784150	0.31623783	0.30508379	0.29439386	0.28409885	0.27427055	0.26498786	0.25612141	0.24758752	0.23953431	0.23200937	0.22481546	0.21787571	0.21133518	0.20520548	0.19931922	0.19365041	0.18831756	0.18331843	0.17855356	0.17403167	0.16984825	0.16603228	0.16250101	0.15911768	0.15580854	0.15264081	0.14969337	0.14690483	0.14422483	0.14180381	0.13979062	0.13806754	0.13642299	0.13483236	0.13336638	0.13200868	0.13073155	0.12958579	0.12863297	0.12792217	0.12749003	0.12726151	0.12708660	0.12695938	0.12699272	0.12717385	0.12743514	0.12789731	0.12870533	0.12976187	0.13095875	0.13245050	0.13438109	0.13662776	0.13910350	0.14200306	0.14551138	0.14957585	0.15420284	0.15975770	0.16668264	0.17494843	0.18417556	0.19451239	0.20675548	0.22103890	0.23646806	0.25296297	0.27160296	0.29169359	0.31039405	0.32710069	0.34369942	0.35833844	0.36594274	0.36763992	0.37005356	0.37302710	0.37195141	0.37339425	0.38791384	0.40722079	0.41786660	0.43607989	0.48435552	0.53041260	0.51113523	0.43427783	0.38569760	0.40463378	0.42801225
