          40	         181
0.300000	0.350000	0.400000	0.450000	0.500000	0.550000	0.600000	0.650000	0.700000	0.750000	0.800000	0.850000	0.900000	0.950000	1.00000	1.10000	1.20000	1.30000	1.40000	1.50000	1.60000	1.70000	1.80000	1.90000	2.00000	2.50000	3.00000	4.00000	5.00000	6.00000	7.00000	8.00000	9.00000	10.0000	12.5000	15.0000	17.5000	20.0000	25.0000	30.0000
0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180
57.433337	44.017004	30.592699	26.375574	23.763646	21.716214	19.991644	18.502760	17.197662	16.038883	14.996216	14.048176	13.176621	12.365865	11.607513	10.893086	10.217686	9.5766789	8.9675569	8.3883833	7.8379045	7.3151839	6.8191450	6.3492830	5.9046972	5.4849724	5.0894432	4.7176817	4.3689481	4.0424272	3.7373037	3.4527011	3.1879521	2.9418955	2.7139732	2.5030925	2.3086356	2.1295158	1.9649708	1.8139621	1.6756261	1.5491359	1.4336343	1.3284515	1.2326884	1.1457274	1.0668024	0.99534909	0.93078268	0.87240906	0.81972704	0.77210309	0.72909249	0.69019760	0.65501329	0.62321162	0.59441281	0.56837756	0.54473135	0.52318812	0.50348542	0.48534953	0.46858373	0.45297275	0.43837242	0.42465681	0.41169202	0.39942310	0.38773227	0.37655596	0.36581046	0.35541942	0.34533055	0.33545355	0.32575496	0.31617932	0.30673642	0.29741383	0.28825735	0.27927155	0.27046417	0.26181082	0.25330967	0.24497057	0.23682337	0.22886992	0.22108840	0.21347616	0.20603027	0.19879402	0.19178842	0.18503178	0.17857629	0.17243202	0.16660391	0.16107166	0.15584903	0.15094708	0.14638542	0.14217100	0.13831300	0.13478631	0.13161049	0.12877692	0.12630388	0.12417221	0.12236982	0.12089061	0.11972785	0.11886544	0.11828387	0.11796643	0.11790742	0.11811236	0.11859143	0.11932841	0.12030524	0.12149992	0.12288728	0.12442979	0.12611933	0.12794241	0.12989697	0.13198393	0.13420356	0.13655017	0.13902208	0.14161532	0.14431302	0.14708619	0.14990826	0.15277355	0.15570161	0.15871700	0.16183608	0.16505107	0.16834438	0.17169594	0.17510468	0.17857406	0.18211730	0.18573351	0.18942612	0.19319910	0.19705872	0.20103700	0.20514900	0.20940625	0.21381147	0.21836833	0.22310060	0.22805364	0.23327487	0.23881457	0.24470117	0.25097850	0.25770934	0.26479969	0.27216636	0.27950387	0.28647358	0.29267837	0.29781229	0.30199698	0.30574844	0.30958228	0.31407142	0.31934417	0.32534598	0.33239199	0.34082619	0.35060178	0.36219999	0.37543010	0.38990833	0.40650142	0.42444795	0.44347879	0.46671843	0.46456960	0.46632021
45.039796	36.875247	26.277315	22.277785	20.198593	18.623795	17.281231	16.118517	15.085265	14.163019	13.328292	12.565335	11.864127	11.213753	10.605350	10.032854	9.4908429	8.9761431	8.4865441	8.0189683	7.5724171	7.1452134	6.7366917	6.3463705	5.9733091	5.6174905	5.2780087	4.9549068	4.6474765	4.3556034	4.0788829	3.8168382	3.5691281	3.3352064	3.1147343	2.9070122	2.7119445	2.5287594	2.3571653	2.1964329	2.0462349	1.9059252	1.7751702	1.6533046	1.5399568	1.4345208	1.3367175	1.2459782	1.1620268	1.0843547	1.0125575	0.94613966	0.88481410	0.82816815	0.77593600	0.72776380	0.68340482	0.64254938	0.60499375	0.57047718	0.53876779	0.50958301	0.48272160	0.45796350	0.43513319	0.41401392	0.39452265	0.37650587	0.35988296	0.34453241	0.33038611	0.31730108	0.30519031	0.29392206	0.28341050	0.27357282	0.26433993	0.25567734	0.24755999	0.23995942	0.23285700	0.22617951	0.21989751	0.21394461	0.20834432	0.20304328	0.19803610	0.19331045	0.18883227	0.18457929	0.18057982	0.17677669	0.17316679	0.16977548	0.16656524	0.16353161	0.16067727	0.15800217	0.15549917	0.15317059	0.15099975	0.14897068	0.14711451	0.14542924	0.14388587	0.14248115	0.14118086	0.13996274	0.13883135	0.13778699	0.13684274	0.13601712	0.13532082	0.13475188	0.13429730	0.13393361	0.13363926	0.13341634	0.13324390	0.13312817	0.13308255	0.13311562	0.13324744	0.13348523	0.13382889	0.13425752	0.13475930	0.13532279	0.13594938	0.13664524	0.13741667	0.13827544	0.13923164	0.14030649	0.14150037	0.14280171	0.14420465	0.14570087	0.14730023	0.14902047	0.15088246	0.15288924	0.15505076	0.15738531	0.15991271	0.16263456	0.16558030	0.16874777	0.17216356	0.17585940	0.17986331	0.18420667	0.18892820	0.19403686	0.19957210	0.20552212	0.21188665	0.21855327	0.22540537	0.23221321	0.23866667	0.24448046	0.24940262	0.25332058	0.25629128	0.25897582	0.26181373	0.26549358	0.26980104	0.27490562	0.28093711	0.28816995	0.29748523	0.30799756	0.32060267	0.33404073	0.35057941	0.36788588	0.38430795	0.38047056	0.38372363
38.062347	32.538822	23.938175	19.813523	17.981105	16.613340	15.498555	14.509909	13.635789	12.844761	12.128812	11.472558	10.867182	10.304663	9.7810830	9.2889759	8.8246913	8.3851113	7.9667360	7.5675969	7.1866714	6.8216277	6.4720833	6.1371246	5.8157144	5.5078799	5.2127814	4.9300389	4.6596271	4.4007139	4.1535430	3.9175925	3.6925490	3.4784443	3.2744976	3.0807410	2.8967442	2.7222392	2.5570681	2.4006987	2.2530619	2.1135760	1.9820740	1.8581335	1.7414454	1.6317787	1.5286740	1.4319306	1.3411169	1.2560609	1.1764150	1.1019751	1.0324611	0.96754486	0.90699248	0.85046975	0.79779175	0.74868728	0.70298929	0.66049380	0.62097895	0.58433491	0.55035373	0.51891958	0.48979852	0.46285725	0.43790535	0.41478816	0.39337237	0.37354227	0.35520265	0.33824443	0.32262737	0.30825759	0.29505799	0.28291119	0.27174715	0.26145016	0.25196368	0.24320897	0.23511221	0.22765486	0.22079857	0.21449341	0.20867382	0.20329085	0.19833193	0.19372970	0.18946913	0.18551815	0.18184414	0.17848151	0.17538576	0.17246328	0.16973040	0.16717659	0.16478814	0.16255082	0.16045283	0.15847644	0.15663280	0.15491847	0.15329043	0.15173344	0.15026503	0.14885091	0.14751048	0.14624695	0.14506294	0.14395668	0.14292345	0.14195640	0.14104766	0.14018373	0.13935727	0.13856914	0.13782183	0.13711325	0.13647175	0.13590690	0.13541838	0.13501821	0.13470003	0.13444804	0.13424945	0.13409489	0.13399763	0.13397307	0.13402959	0.13418573	0.13444756	0.13482038	0.13529885	0.13588505	0.13656943	0.13735864	0.13826630	0.13931227	0.14050719	0.14186405	0.14338975	0.14509800	0.14698962	0.14908504	0.15140665	0.15396510	0.15678376	0.15988286	0.16327783	0.16697533	0.17100375	0.17538031	0.18014714	0.18528344	0.19081893	0.19670476	0.20290759	0.20929588	0.21577491	0.22214579	0.22811946	0.23341813	0.23769588	0.24103772	0.24343470	0.24538252	0.24720682	0.24965658	0.25261463	0.25687852	0.26195070	0.26872538	0.27652773	0.28677564	0.29789960	0.31224936	0.32649963	0.34488871	0.35409288	0.35141875	0.35515030
33.226110	29.272591	22.266488	18.100629	16.304127	15.077348	14.089574	13.235052	12.463499	11.767929	11.131319	10.548460	10.007497	9.5059991	9.0387245	8.6006905	8.1881936	7.7988828	7.4297467	7.0779063	6.7429313	6.4230779	6.1166778	5.8233765	5.5424405	5.2726786	5.0139714	4.7657402	4.5272459	4.2987125	4.0796302	3.8695733	3.6686793	3.4763758	3.2924334	3.1168932	2.9491987	2.7892597	2.6369456	2.4918613	2.3539621	2.2228686	2.0983468	1.9803235	1.8683585	1.7623560	1.6620765	1.5671985	1.4776254	1.3929853	1.3130939	1.2378198	1.1668583	1.1001043	1.0373246	0.97828229	0.92282218	0.87065888	0.82170053	0.77575685	0.73266045	0.69232953	0.65453850	0.61920121	0.58614903	0.55522691	0.52632326	0.49928196	0.47404058	0.45047274	0.42846160	0.40791593	0.38873022	0.37080680	0.35412078	0.33858099	0.32409487	0.31061481	0.29804507	0.28635780	0.27548341	0.26537696	0.25593004	0.24709505	0.23884529	0.23112389	0.22391939	0.21719243	0.21092729	0.20508322	0.19965151	0.19454149	0.18975270	0.18529971	0.18111366	0.17721215	0.17359000	0.17019662	0.16700837	0.16402558	0.16122241	0.15858432	0.15611603	0.15379546	0.15161675	0.14959310	0.14768715	0.14591624	0.14428872	0.14277860	0.14138745	0.14009293	0.13888880	0.13778468	0.13676369	0.13580674	0.13493669	0.13416956	0.13349488	0.13292464	0.13245665	0.13207861	0.13178699	0.13156865	0.13142130	0.13135591	0.13138496	0.13151551	0.13176325	0.13212475	0.13260078	0.13319044	0.13388906	0.13469476	0.13561693	0.13666645	0.13786277	0.13921394	0.14072821	0.14242267	0.14429081	0.14635520	0.14862625	0.15111960	0.15384326	0.15680997	0.16003321	0.16352484	0.16729878	0.17138885	0.17581156	0.18056276	0.18562616	0.19100545	0.19666656	0.20258764	0.20874526	0.21499756	0.22128190	0.22727578	0.23282172	0.23769509	0.24164929	0.24471731	0.24678810	0.24828919	0.24941596	0.25110765	0.25364845	0.25730018	0.26265488	0.26887825	0.27717126	0.28642415	0.29839438	0.31186924	0.32630306	0.34349583	0.34732545	0.34670520	0.35074160
29.839897	26.871479	21.085364	16.988899	15.093664	13.965894	13.046813	12.277731	11.584391	10.954338	10.377838	9.8443304	9.3532286	8.8960393	8.4682818	8.0673430	7.6905297	7.3352903	6.9984481	6.6792519	6.3762215	6.0870190	5.8109190	5.5473036	5.2947967	5.0525167	4.8204726	4.5979154	4.3839696	4.1788588	3.9821957	3.7932192	3.6120627	3.4384814	3.2718061	3.1121567	2.9594988	2.8132368	2.6733508	2.5398251	2.4121359	2.2902150	2.1740010	2.0630938	1.9574869	1.8570353	1.7613572	1.6704282	1.5840489	1.5018862	1.4239033	1.3499216	1.2797064	1.2132117	1.1502472	1.0906290	1.0342762	0.98095459	0.93051510	0.88285359	0.83774856	0.79514670	0.75494457	0.71693096	0.68107096	0.64728219	0.61543978	0.58545714	0.55719510	0.53056144	0.50546048	0.48179778	0.45950213	0.43848383	0.41868184	0.40003874	0.38251065	0.36602034	0.35050664	0.33592311	0.32215456	0.30917940	0.29699334	0.28552921	0.27473816	0.26456568	0.25498509	0.24595094	0.23743061	0.22938929	0.22178597	0.21466077	0.20796408	0.20162890	0.19567444	0.19007511	0.18480215	0.17984571	0.17519209	0.17080655	0.16667048	0.16278771	0.15913138	0.15570264	0.15249475	0.14948763	0.14669279	0.14409227	0.14165726	0.13937835	0.13725447	0.13527997	0.13345063	0.13176678	0.13022409	0.12884006	0.12760855	0.12650421	0.12553044	0.12468068	0.12394822	0.12332731	0.12281520	0.12242153	0.12214403	0.12199586	0.12198834	0.12211276	0.12236729	0.12275162	0.12326481	0.12390251	0.12466997	0.12557922	0.12663752	0.12785425	0.12923519	0.13079037	0.13252624	0.13444384	0.13655113	0.13886092	0.14138218	0.14411573	0.14708419	0.15030873	0.15378887	0.15753850	0.16156274	0.16587236	0.17047801	0.17534423	0.18048863	0.18591909	0.19155033	0.19737939	0.20332191	0.20923138	0.21510286	0.22068675	0.22578178	0.23029942	0.23389759	0.23661184	0.23840255	0.23946888	0.24055440	0.24179360	0.24415582	0.24795051	0.25271797	0.25955486	0.26741671	0.27704013	0.28926443	0.30134115	0.31727705	0.33130343	0.33209840	0.33303014	0.33699831
27.532860	25.210732	20.347184	16.395125	14.345524	13.241623	12.380158	11.653303	11.017758	10.432078	9.8952673	9.3978565	8.9335482	8.5029527	8.1003825	7.7216970	7.3654543	7.0298208	6.7131657	6.4128212	6.1271161	5.8558923	5.5976752	5.3508076	5.1149695	4.8897922	4.6742331	4.4675120	4.2695522	4.0799512	3.8977639	3.7227558	3.5550367	3.3940283	3.2393427	3.0911855	2.9492752	2.8130766	2.6825798	2.5576874	2.4379623	2.3233124	2.2137242	2.1088285	2.0084872	1.9127793	1.8214155	1.7341266	1.6509137	1.5715503	1.4957948	1.4236828	1.3550317	1.2895516	1.2272443	1.1680028	1.1115916	1.0580040	1.0071483	0.95878952	0.91286762	0.86929853	0.82791402	0.78864771	0.75137955	0.71596083	0.68236871	0.65055117	0.62039406	0.59180930	0.56470631	0.53902135	0.51471282	0.49170808	0.46992193	0.44927299	0.42971470	0.41120305	0.39365912	0.37702904	0.36127928	0.34636511	0.33224596	0.31887511	0.30620950	0.29421323	0.28284789	0.27207851	0.26186833	0.25220559	0.24307324	0.23441321	0.22620496	0.21845460	0.21111715	0.20415056	0.19754978	0.19129926	0.18538738	0.17981870	0.17456762	0.16960615	0.16493384	0.16052118	0.15634742	0.15243059	0.14874691	0.14526455	0.14199844	0.13895208	0.13610829	0.13345639	0.13098860	0.12870258	0.12659312	0.12464777	0.12285918	0.12122804	0.11975466	0.11843384	0.11726178	0.11623808	0.11536151	0.11463596	0.11406852	0.11365624	0.11338888	0.11326196	0.11327790	0.11343806	0.11374415	0.11420673	0.11483270	0.11561912	0.11657448	0.11770979	0.11902267	0.12051520	0.12219193	0.12405843	0.12613286	0.12842031	0.13091429	0.13363192	0.13659441	0.13980565	0.14327146	0.14699603	0.15097170	0.15520289	0.15969379	0.16442096	0.16938593	0.17457647	0.17990186	0.18534497	0.19088576	0.19635528	0.20171907	0.20687951	0.21146685	0.21541897	0.21866335	0.22090016	0.22242236	0.22345171	0.22415613	0.22552848	0.22775794	0.23097785	0.23625830	0.24273616	0.25049268	0.26118820	0.27247710	0.28508701	0.30130669	0.31102607	0.31059266	0.31322937	0.31726814
25.933954	24.057985	19.906441	16.147245	13.949281	12.791306	11.963667	11.255616	10.647933	10.097889	9.5856070	9.1116262	8.6686619	8.2533212	7.8654620	7.5001874	7.1544729	6.8286103	6.5213073	6.2303479	5.9542233	5.6920458	5.4432915	5.2066619	4.9804420	4.7642451	4.5581101	4.3609614	4.1718114	3.9907180	3.8176117	3.6517003	3.4923969	3.3397172	3.1935018	3.0531688	2.9183991	2.7892471	2.6654980	2.5467561	2.4329603	2.3240631	2.2196944	2.1196324	2.0239147	1.9323440	1.8446019	1.7606472	1.6804600	1.6038042	1.5305148	1.4605545	1.3937537	1.3299097	1.2689872	1.2109155	1.1554802	1.1025670	1.0521568	1.0041116	0.95829934	0.91469781	0.87318900	0.83360599	0.79593242	0.76013247	0.72603922	0.69356130	0.66267320	0.63328188	0.60532085	0.57876062	0.55350768	0.52947965	0.50666100	0.48500545	0.46442028	0.44483180	0.42621098	0.40852781	0.39170851	0.37570036	0.36050539	0.34608871	0.33237986	0.31934334	0.30694552	0.29515536	0.28396766	0.27334712	0.26324814	0.25365783	0.24454214	0.23587100	0.22765109	0.21985194	0.21243340	0.20540272	0.19874585	0.19242483	0.18642671	0.18073777	0.17535664	0.17028738	0.16548771	0.16092847	0.15663138	0.15258905	0.14877091	0.14517683	0.14180833	0.13865801	0.13571772	0.13296554	0.13039104	0.12800825	0.12581604	0.12379477	0.12193755	0.12025405	0.11875119	0.11741948	0.11624528	0.11522552	0.11436329	0.11366528	0.11313126	0.11274970	0.11252460	0.11246960	0.11257912	0.11285041	0.11329433	0.11391283	0.11470853	0.11568612	0.11684152	0.11818489	0.11973298	0.12148092	0.12342964	0.12559968	0.12799920	0.13062278	0.13346809	0.13653947	0.13984940	0.14340044	0.14718231	0.15120656	0.15548367	0.15997256	0.16464306	0.16951002	0.17451335	0.17955526	0.18465333	0.18974020	0.19457174	0.19909254	0.20326418	0.20672020	0.20938803	0.21152013	0.21295161	0.21382485	0.21483475	0.21603333	0.21784358	0.22144162	0.22636284	0.23235365	0.24117565	0.25179986	0.26249497	0.27635274	0.29122744	0.29739873	0.29721267	0.30153139	0.30573724
24.785753	23.230693	19.635279	16.082834	13.763189	12.500494	11.678926	10.990996	10.393737	9.8640126	9.3693748	8.9056688	8.4758351	8.0739372	7.6955862	7.3391814	7.0019028	6.6825491	6.3812152	6.0959159	5.8243854	5.5665089	5.3223668	5.0905888	4.8695315	4.6584757	4.4573665	4.2658270	4.0827846	3.9073646	3.7395390	3.5792290	3.4256711	3.2783061	3.1372209	3.0023353	2.8730656	2.7490241	2.6302391	2.5165597	2.4075065	2.3028223	2.2025789	2.1066587	2.0147030	1.9265689	1.8422947	1.7616894	1.6844470	1.6104972	1.5398268	1.4722058	1.4074076	1.3454316	1.2862709	1.2297366	1.1756781	1.1240793	1.0748321	1.0277334	0.98272077	0.93980155	0.89884187	0.85969389	0.82234765	0.78677974	0.75286370	0.72050634	0.68966786	0.66026025	0.63218492	0.60541764	0.57994837	0.55569456	0.53256372	0.51053258	0.48957955	0.46961315	0.45056331	0.43243446	0.41520228	0.39878143	0.38311227	0.36817286	0.35394313	0.34041536	0.32756096	0.31530612	0.30361601	0.29250856	0.28194516	0.27185508	0.26224443	0.25313977	0.24449703	0.23625987	0.22841398	0.22095451	0.21387244	0.20715532	0.20077914	0.19472733	0.18899605	0.18356777	0.17842331	0.17355350	0.16893846	0.16456573	0.16044767	0.15658118	0.15294297	0.14952564	0.14632404	0.14332574	0.14053032	0.13793328	0.13552078	0.13329860	0.13127325	0.12942820	0.12775574	0.12625997	0.12493195	0.12376578	0.12276327	0.12191896	0.12123945	0.12074404	0.12043327	0.12029527	0.12032297	0.12051069	0.12086394	0.12139750	0.12211478	0.12301601	0.12410672	0.12538625	0.12685701	0.12853093	0.13041544	0.13251291	0.13481839	0.13732471	0.14004754	0.14300263	0.14617880	0.14958391	0.15323329	0.15708704	0.16111767	0.16535050	0.16974772	0.17424426	0.17887733	0.18363150	0.18834852	0.19297512	0.19750340	0.20167413	0.20528956	0.20847388	0.21111764	0.21291414	0.21416862	0.21531993	0.21622475	0.21729493	0.21957917	0.22294537	0.22721854	0.23399060	0.24333469	0.25297928	0.26407024	0.27882488	0.29135364	0.29478168	0.29500318	0.30010827	0.30416445
23.897009	22.579847	19.425508	16.082092	13.682980	12.299607	11.456005	10.789713	10.201568	9.6809958	9.2045496	8.7556409	8.3352644	7.9423584	7.5704772	7.2175723	6.8850049	6.5716866	6.2748416	5.9927515	5.7245880	5.4698822	5.2283461	4.9990337	4.7803876	4.5716403	4.3729870	4.1841446	4.0039768	3.8316443	3.6671076	3.5102931	3.3605285	3.2170873	3.0797452	2.9485099	2.8230402	2.7027488	2.5873841	2.4770516	2.3716171	2.2705899	2.1736759	2.0809323	1.9922823	1.9073651	1.8259505	1.7480411	1.6735163	1.6020904	1.5336296	1.4681616	1.4055815	1.3456498	1.2882612	1.2334409	1.1810920	1.1309913	1.0830115	1.0371371	0.99329490	0.95135351	0.91125245	0.87297317	0.83642707	0.80149558	0.76812404	0.73628936	0.70591516	0.67688442	0.64912487	0.62263123	0.59738300	0.57329086	0.55027854	0.52833543	0.50742811	0.48746477	0.46840294	0.45025180	0.43296066	0.41644656	0.40068345	0.38565316	0.37130501	0.35762435	0.34461367	0.33221659	0.32037986	0.30911133	0.29838738	0.28813780	0.27835489	0.26907500	0.26027088	0.25188135	0.24388860	0.23629129	0.22906912	0.22220426	0.21568642	0.20949824	0.20362506	0.19805746	0.19278494	0.18779877	0.18308762	0.17863604	0.17443930	0.17049743	0.16679274	0.16330231	0.16002141	0.15695489	0.15410023	0.15144913	0.14899450	0.14673662	0.14467882	0.14281111	0.14111625	0.13959131	0.13824001	0.13705870	0.13604843	0.13521443	0.13455164	0.13405979	0.13375102	0.13362067	0.13364973	0.13384110	0.13420896	0.13475070	0.13546687	0.13637253	0.13747024	0.13875200	0.14022150	0.14188343	0.14373877	0.14580026	0.14807553	0.15055357	0.15323555	0.15613318	0.15923155	0.16251353	0.16599397	0.16967240	0.17351374	0.17751819	0.18171092	0.18603832	0.19040565	0.19481295	0.19927830	0.20365040	0.20773220	0.21152612	0.21503985	0.21801537	0.22030551	0.22219215	0.22379580	0.22486624	0.22574953	0.22735827	0.22976767	0.23274541	0.23748193	0.24490250	0.25347911	0.26260074	0.27489003	0.28964231	0.29946269	0.30099849	0.30173883	0.30728472	0.31115892
22.970542	21.856516	19.113961	16.041528	13.657953	12.184503	11.295039	10.633352	10.052574	9.5358148	9.0729729	8.6412191	8.2303472	7.8422765	7.4769308	7.1311941	6.8036414	6.4934068	6.1983056	5.9169397	5.6498292	5.3971295	5.1572431	4.9284484	4.7103704	4.5032497	4.3066559	4.1194301	3.9405483	3.7696713	3.6068755	3.4519341	3.3040774	3.1626090	3.0274129	2.8985641	2.7756574	2.6579786	2.5451987	2.4374159	2.3345228	2.2360246	2.1415689	2.0512107	1.9649826	1.8825509	1.8035184	1.7277915	1.6554102	1.5862169	1.5199177	1.4563663	1.3955762	1.3374931	1.2819205	1.2286774	1.1777030	1.1289692	1.0823668	1.0377487	0.99504118	0.95422497	0.91522442	0.87791093	0.84221353	0.80811877	0.77554685	0.74435477	0.71448458	0.68597788	0.65881248	0.63285684	0.60801973	0.58430510	0.56168922	0.54007227	0.51938911	0.49964728	0.48083519	0.46288132	0.44572083	0.42933376	0.41370782	0.39880811	0.38458111	0.37097801	0.35798322	0.34560780	0.33383965	0.32262992	0.31193575	0.30174040	0.29202502	0.28276375	0.27394573	0.26556235	0.25758557	0.24999271	0.24278440	0.23595142	0.22946146	0.22329400	0.21745135	0.21192342	0.20668347	0.20171946	0.19703405	0.19261852	0.18845502	0.18453670	0.18086533	0.17743689	0.17423672	0.17124568	0.16845124	0.16585517	0.16346088	0.16125844	0.15923942	0.15741529	0.15579758	0.15437207	0.15311549	0.15202320	0.15110030	0.15034393	0.14975079	0.14932593	0.14907589	0.14900622	0.14912118	0.14941381	0.14986956	0.15048788	0.15128012	0.15224587	0.15338009	0.15469668	0.15621196	0.15791803	0.15980467	0.16188577	0.16417236	0.16664761	0.16929684	0.17213157	0.17516079	0.17836832	0.18174073	0.18529530	0.18905101	0.19297379	0.19698813	0.20106278	0.20522451	0.20943295	0.21354901	0.21751967	0.22141702	0.22515556	0.22845902	0.23129080	0.23388014	0.23611530	0.23759669	0.23856234	0.23982249	0.24156003	0.24355082	0.24667392	0.25217761	0.25940511	0.26708427	0.27668858	0.29012169	0.30374866	0.31076848	0.31122168	0.31278987	0.31870375	0.32239124
