# Aerosol extinction parametrisation of Patat et al. (2011)
# lambda[mum] tau
0.30 0.0457
0.31 0.0457
0.32 0.0457
0.33 0.0457
0.34 0.0457
0.35 0.0457
0.36 0.0457
0.37 0.0457
0.38 0.0457
0.39 0.0457
0.40 0.0457
0.41 0.0441
0.42 0.0427
0.43 0.0413
0.44 0.0400
0.45 0.0388
0.46 0.0377
0.47 0.0366
0.48 0.0355
0.49 0.0345
0.50 0.0336
0.51 0.0327
0.52 0.0318
0.53 0.0310
0.54 0.0302
0.55 0.0294
0.56 0.0287
0.57 0.0280
0.58 0.0273
0.59 0.0267
0.60 0.0261
0.61 0.0255
0.62 0.0249
0.63 0.0244
0.64 0.0239
0.65 0.0234
0.66 0.0229
0.67 0.0224
0.68 0.0220
0.69 0.0215
0.70 0.0211
0.71 0.0207
0.72 0.0203
0.73 0.0199
0.74 0.0195
0.75 0.0192
0.76 0.0188
0.77 0.0185
0.78 0.0182
0.79 0.0179
0.80 0.0175
0.81 0.0172
0.82 0.0170
0.83 0.0167
0.84 0.0164
0.85 0.0161
0.86 0.0159
0.87 0.0156
0.88 0.0154
0.89 0.0151
0.90 0.0149
0.91 0.0147
0.92 0.0145
0.93 0.0143
0.94 0.0140
0.95 0.0138
0.96 0.0136
0.97 0.0134
0.98 0.0133
0.99 0.0131
1.00 0.0129
1.02 0.0125
1.04 0.0122
1.06 0.0119
1.08 0.0116
1.10 0.0113
1.12 0.0110
1.14 0.0108
1.16 0.0105
1.18 0.0103
1.20 0.0100
1.22 0.0098
1.24 0.0096
1.26 0.0094
1.28 0.0092
1.30 0.0090
1.32 0.0088
1.34 0.0086
1.36 0.0084
1.38 0.0083
1.40 0.0081
1.42 0.0079
1.44 0.0078
1.46 0.0076
1.48 0.0075
1.50 0.0074
1.55 0.0070
1.60 0.0067
1.65 0.0065
1.70 0.0062
1.75 0.0060
1.80 0.0057
1.85 0.0055
1.90 0.0053
1.95 0.0051
2.00 0.0050
2.10 0.0046
2.20 0.0043
2.30 0.0041
2.40 0.0039
2.50 0.0036
