exposure,stack_row,mjd,fold,sky_far_label,target_airmass,moon_fli,moon_altitude_deg,moon_separation_deg,signed_phase_deg,e50_b,e90_b,bias_b,e50_r,e90_r,bias_r,e50_z,e90_z,bias_z
3897,91,60184,0,SkyE,1.0568519594519235,0.8689,87.5266,21.347,42.477298133526915,0.044991859705357004,0.11656950104626855,-0.012491645158737776,0.10938046833281145,0.1404415219905655,-0.10938046833281145,0.09512191411388593,0.18992378157404266,0.0873811469344255
3898,92,60184,0,SkyE,1.0528073026732463,0.8695,85.2818,21.35,42.32137098179669,0.04312978537104227,0.12979703584943758,-0.03756730172835812,0.12070958867746227,0.14743801681991592,-0.12070958867746227,0.07710236827370949,0.17190634900356427,0.06545453758980697
3912,106,60184,0,SkyW,1.0422492246192578,0.8738,60.7535,27.7404,41.20934216009755,0.10614370145286824,0.16005476004471483,0.10529580685694266,0.044111086872155494,0.07928769498367746,-0.044111086872155494,0.03670392464839573,0.10341961485238815,0.02069758156066812
3913,107,60184,0,SkyW,1.0498723012124895,0.8744,57.2659,27.6962,41.0530117333945,0.12470213140672513,0.19317034778566702,0.12068468619426927,0.02664493159428822,0.07225077379978077,-0.022553949160816218,0.052226918419475764,0.1152274336088445,0.042383473693501345
3916,110,60184,0,SkyE,1.0352942957506344,0.8766,46.1685,52.8053,40.55243106662451,0.053708694949577244,0.10977931310954941,0.042590513925000954,0.0631011124031455,0.1317563683567938,0.06257277718493505,0.09653670263617693,0.1406932227742279,0.09103817625243522
3920,113,60184,0,SkyW,1.0046325286014945,0.8795,32.8183,56.1494,39.94064697201918,0.06507884519348003,0.11827441423668723,0.0582749798922272,0.06808435262397065,0.13323332992776302,0.06749691136678776,0.08347796201841243,0.13390330857877644,0.08029230496755885
3921,114,60184,0,SkyW,1.0063812166380803,0.8803,29.454,56.0455,39.78419108913573,0.0837502404296908,0.13025512776267972,0.07743362374169047,0.07469116315530254,0.13548756899738873,0.07426960757669726,0.08028602063887469,0.13514816628477624,0.07728891609438063
3922,115,60184,0,SkyE,1.0145533368213893,0.8814,25.0206,55.9025,39.57625472248736,0.09233774390749855,0.14144305758033285,0.085392608994737,0.07390095728817463,0.13585106472475628,0.07350813964694985,0.05863220427175789,0.10361546864447199,0.0511794896885803
3923,116,60184,0,SkyE,1.0252463495728616,0.8823,21.7142,55.7909,39.41968505785675,0.10807428949714652,0.15848864868635007,0.10290823578212785,0.08321003681025772,0.1303586462400563,0.08280707158535633,0.046543849614187074,0.10284406104023926,0.03528503215113401
3970,124,60185,0,SkyW,1.0415420441805407,0.9447,61.8042,38.054,26.8402861614467,0.06032170945525828,0.11007717626041358,0.050144778269053926,0.05017831510945462,0.0977948517896146,0.0500534342336114,0.14430463248370898,0.2103253555773394,0.14430463248370898
3971,125,60185,0,SkyW,1.0337533912839023,0.9452,58.3172,37.9371,26.681764537794663,0.07621170547150773,0.12145055706506165,0.0690109148461394,0.04543004214894192,0.10019308034061687,0.04524714226524093,0.1315319094159229,0.20220778711565188,0.13144465517895737
3972,126,60185,0,SkyW,1.030631830383548,0.9457,54.8218,37.8179,26.52313925549302,0.06924609992568101,0.12032812228143437,0.05941396835775915,0.03459700304806912,0.08825415198331812,0.03437374640953902,0.12164382991180253,0.1944676460801982,0.12088430031066331
3977,130,60186,1,SkyE,1.1686659487575515,0.9829,37.8653,34.4855,15.777150332428846,0.03672911011516406,0.10723810978095313,-0.016518328818610616,0.1309519301157499,0.20743480008910387,-0.1309519301157499,0.1868127320018673,0.2153730363881247,-0.1868127320018673
3978,131,60186,1,SkyE,1.1396085601691432,0.9832,41.3244,34.5876,15.619815931488603,0.03378014249684755,0.11103590193912476,-0.022756705281217704,0.12827181508188065,0.18913191462843124,-0.12827181508188065,0.16017172783576528,0.1952310793178078,-0.16017172783576528
3979,132,60186,1,SkyE,1.1152802286033736,0.9834,44.787,34.6891,15.462496599824988,0.04051031834696924,0.11857287040032945,-0.03715366135607809,0.1281832040565098,0.1878686335760885,-0.1281832040565098,0.15411692787078735,0.1880945297401992,-0.15411692787078735
