# Table is orginally from arglow_groups.dat in the ESO sky model
# unsure about flux conversion so provide both the oringnal fluxes and converted
# type is defined as  Type: 1: OI5577, 2: NaID, 3: OIred, 4: OH, 5: O2 (Noll+2012)
# OH (X-X), O2(b-X) with the electronic states and rotational upper levels in table
# written with make_lvm_skylines_table.ipynb 2025 June 4 (Amy Jones)
# Adapted by ksl to include all lines
    wave  flux_lvm flux_eso    trans type electronic_state rotational_upper_level
3499.769 7.934e-17   0.0013 0.999431    5               39                      0
3502.358 6.098e-17    0.001 0.999424    5               41                      0
3502.758 7.927e-17   0.0013  0.99943    5               41                      0
3504.807 4.875e-17   0.0008 0.999467    5               39                      0
3505.317 3.656e-17   0.0006 0.999479    5               41                      0
3505.717 7.311e-17   0.0012 0.999482    5               41                      0
3508.916 5.478e-17   0.0009 0.999497    5               41                      0
3509.846 6.085e-17    0.001 0.999463    5               41                      0
3512.116 8.514e-17   0.0014 0.999027    5               41                      0
3512.955 2.432e-17   0.0004 0.998694    5               41                      0
3517.214 1.215e-16    0.002 0.998166    1             -999                   -999
3520.853 5.460e-17   0.0009 0.998792    1             -999                   -999
3540.898 6.635e-17   0.0011  0.99948    5               39                      0
3542.418 1.326e-16   0.0022 0.999425    5               41                      0
3542.858 1.085e-16   0.0018 0.999412    5               41                      0
3544.207 1.627e-16   0.0027 0.999393    5               41                      0
3544.607 1.386e-16   0.0023 0.999395    5               41                      0
3545.147 8.435e-17   0.0014 0.999399    5               41                      0
3545.547 4.217e-17   0.0007 0.999395    5               41                      0
3546.207 1.445e-16   0.0024 0.999387    5               41                      0
3546.667 1.746e-16   0.0029 0.999376    5               41                      0
3547.207 5.419e-17   0.0009 0.999356    5               39                      0
3547.936 1.625e-16   0.0027 0.999339    5               41                      0
3548.836 4.213e-17   0.0007 0.999337    5               41                      0
3549.356 1.204e-16    0.002 0.999324    5               41                      0
3550.376 1.083e-16   0.0018 0.999272    5               41                      0
3550.926 1.383e-16   0.0023  0.99924    5               41                      0
3552.675 9.018e-17   0.0015 0.999161    5               41                      0
3553.185 6.011e-17    0.001 0.999153    5               39                      0
3553.975 1.563e-16   0.0026 0.999153    5               39                      0
3554.375 6.009e-17    0.001 0.999155    5               39                      0
3554.595 1.202e-16    0.002 0.999157    5               41                      0
3554.775 4.206e-17   0.0007 0.999159    5               41                      0
3555.135 3.004e-17   0.0005 0.999162    5               39                      0
3555.584 1.141e-16   0.0019 0.999162    5               39                      0
3555.884 5.406e-17   0.0009 0.999159    5               39                      0
3556.084 1.922e-16   0.0032 0.999156    5               41                      0
3556.664 8.407e-17   0.0014 0.999139    5               41                      0
3556.884 1.801e-17   0.0003 0.999129    5               41                      0
3557.844 1.261e-16   0.0021 0.999082    5               39                      0
3558.114 8.404e-17   0.0014 0.999066    5               39                      0
3558.364 1.621e-16   0.0027 0.999052    5               39                      0
3558.914 6.001e-17    0.001 0.999027    5               41                      0
3560.643 1.740e-16   0.0029 0.999001    5               39                      0
3560.893 4.798e-17   0.0008 0.998998    5               39                      0
3561.163 1.499e-16   0.0025 0.998993    5               39                      0
3561.303 9.596e-17   0.0016 0.998991    5               41                      0
3561.573 4.798e-17   0.0008 0.998986    5               41                      0
3563.162 5.395e-17   0.0009 0.998951    5               41                      0
3563.922 4.435e-16   0.0074 0.998909    5               41                      0
3564.202 1.678e-16   0.0028 0.998884    5               39                      0
3564.502 9.587e-17   0.0016 0.998849    5               39                      0
3566.592 7.186e-17   0.0012  0.99856    5               41                      0
3567.821 1.377e-16   0.0023 0.998461    5               39                      0
3567.921 4.789e-17   0.0008 0.998455    5               39                      0
3568.371 1.137e-16   0.0019  0.99844    5               39                      0
3577.779 6.567e-17   0.0011 0.998068    5               39                      0
3582.737 6.558e-17   0.0011 0.997777    5               41                      0
3615.349 9.452e-17   0.0016 0.997328    5               41                      0
3615.619 1.004e-16   0.0017 0.997361    5               41                      0
3616.039 1.418e-16   0.0024 0.997413    5               41                      0
3616.619 7.087e-17   0.0012 0.997488    5               41                      0
3617.069 6.495e-17   0.0011 0.997546    5               41                      0
3617.358 1.063e-16   0.0018 0.997583    5               41                      0
3617.858 8.855e-17   0.0015 0.997647    5               41                      0
