# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Illustration of the calculation of the PALACE reference intensities for O
# recombination lines as listed in pmd_reflineint_atom.dat
# 
# Column names:
# lam: vacuum wavelength in µm (NIST)
# ID: 12 characters describing upper and lower states (NIST)
#     (see pmd_reflineint_atom.dat for details)
# Ei: energy of upper state in 1/cm (NIST)
# Aij: Einstein-A coefficient in 1/s (NIST)
# gi: statistical weight (NIST)
# wmp: weight of multiplet component (based on Aij and gi)
# rc: radiative recombination coefficient in cm3/s for optically thin case and
#     a temperature of 1,000 K (escalante+92)
# reffeat: reference feature measured in X-shooter data
#          (see pmd_intdata_atom.dat):
#          OI0777 for quintet and OI0845 for triplet upper states
# Iref: reference intensity in R for reffeat (see pmd_intdata_atom.dat)
# rI: intensity of line relative to Iref (based on wmp and rc)
# I: reference intensity in R (based on Iref and rI)
# 
# References:
# escalante+92: https://doi.org/10.1016/0032-0633(92)90127-A
# NIST: https://physics.nist.gov/asd
# 
         lam            ID          Ei        Aij  gi     wmp         rc  reffeat        Iref          rI           I 
   0.3693407  O_5p3P3s3S01  103870.252  9.300e+04   1  0.1111  2.900e-16   OI0845   6.654e+00   4.043e-04   2.690e-03 
   0.3693437  O_5p3P3s3S11  103870.028  9.300e+04   3  0.3333  2.900e-16   OI0845   6.654e+00   1.213e-03   8.070e-03 
   0.3693446  O_5p3P3s3S21  103869.968  9.300e+04   5  0.5556  2.900e-16   OI0845   6.654e+00   2.021e-03   1.345e-02 
   0.3948412  O_4p5P3s5S32   99094.837  4.910e+05   7  0.4684  7.040e-15   OI0777   1.614e+01   6.175e-03   9.966e-02 
   0.3948599  O_4p5P3s5S22   99093.641  4.880e+05   5  0.3325  7.040e-15   OI0777   1.614e+01   4.384e-03   7.075e-02 
   0.3948703  O_4p5P3s5S12   99092.968  4.870e+05   3  0.1991  7.040e-15   OI0777   1.614e+01   2.625e-03   4.236e-02 
   0.4369420  O_4p3P3s3S01   99681.309  7.560e+05   1  0.1108  1.910e-15   OI0845   6.654e+00   2.655e-03   1.766e-02 
   0.4369470  O_4p3P3s3S21   99681.049  7.590e+05   5  0.5560  1.910e-15   OI0845   6.654e+00   1.333e-02   8.866e-02 
   0.4369485  O_4p3P3s3S11   99680.968  7.580e+05   3  0.3332  1.910e-15   OI0845   6.654e+00   7.985e-03   5.313e-02 
   0.4655420  O_8d5D3p5P01  108106.094  4.300e+05   1  0.0400  2.220e-15   OI0777   1.614e+01   1.662e-04   2.682e-03 
   0.4655421  O_8d5D3p5P11  108106.091  3.230e+05   3  0.0901  2.220e-15   OI0777   1.614e+01   3.745e-04   6.044e-03 
   0.4655422  O_8d5D3p5P21  108106.085  1.510e+05   5  0.0702  2.220e-15   OI0777   1.614e+01   2.918e-04   4.710e-03 
   0.4655859  O_8d5D3p5P12  108106.091  1.080e+05   3  0.0301  2.220e-15   OI0777   1.614e+01   1.252e-04   2.021e-03 
   0.4655860  O_8d5D3p5P22  108106.085  2.510e+05   5  0.1167  2.220e-15   OI0777   1.614e+01   4.850e-04   7.828e-03 
   0.4655862  O_8d5D3p5P32  108106.077  2.870e+05   7  0.1868  2.220e-15   OI0777   1.614e+01   7.765e-04   1.253e-02 
   0.4656657  O_8d5D3p5P23  108106.085  2.870e+04   5  0.0133  2.220e-15   OI0777   1.614e+01   5.546e-05   8.951e-04 
   0.4656659  O_8d5D3p5P33  108106.077  1.430e+05   7  0.0931  2.220e-15   OI0777   1.614e+01   3.869e-04   6.244e-03 
   0.4656660  O_8d5D3p5P43  108106.072  4.300e+05   9  0.3598  2.220e-15   OI0777   1.614e+01   1.496e-03   2.414e-02 
   0.4773782  O_7d5D3p5P01  107573.508  7.000e+05   1  0.0400  3.560e-15   OI0777   1.614e+01   2.667e-04   4.304e-03 
   0.4773783  O_7d5D3p5P11  107573.504  5.250e+05   3  0.0900  3.560e-15   OI0777   1.614e+01   6.001e-04   9.685e-03 
   0.4773785  O_7d5D3p5P21  107573.495  2.450e+05   5  0.0700  3.560e-15   OI0777   1.614e+01   4.667e-04   7.533e-03 
   0.4774244  O_7d5D3p5P12  107573.504  1.750e+05   3  0.0300  3.560e-15   OI0777   1.614e+01   2.000e-04   3.228e-03 
   0.4774246  O_7d5D3p5P22  107573.495  4.080e+05   5  0.1166  3.560e-15   OI0777   1.614e+01   7.772e-04   1.254e-02 
   0.4774248  O_7d5D3p5P32  107573.484  4.670e+05   7  0.1868  3.560e-15   OI0777   1.614e+01   1.245e-03   2.010e-02 
   0.4775084  O_7d5D3p5P23  107573.495  4.660e+04   5  0.0133  3.560e-15   OI0777   1.614e+01   8.877e-05   1.433e-03 
   0.4775086  O_7d5D3p5P33  107573.484  2.330e+05   7  0.0932  3.560e-15   OI0777   1.614e+01   6.214e-04   1.003e-02 
   0.4775088  O_7d5D3p5P43  107573.476  7.000e+05   9  0.3600  3.560e-15   OI0777   1.614e+01   2.400e-03   3.874e-02 
   0.4803010  O_8s5S3p5P21  107446.036  2.620e+05   5  0.2000  1.390e-15   OI0777   1.614e+01   5.206e-04   8.402e-03 
   0.4803476  O_8s5S3p5P22  107446.036  4.370e+05   5  0.3336  1.390e-15   OI0777   1.614e+01   8.683e-04   1.401e-02 
   0.4804324  O_8s5S3p5P23  107446.036  6.110e+05   5  0.4664  1.390e-15   OI0777   1.614e+01   1.214e-03   1.959e-02 
   0.4968762  O_6d5D3p5P01  106751.494  1.270e+06   1  0.0401  6.670e-15   OI0777   1.614e+01   5.006e-04   8.080e-03 
   0.4968764  O_6d5D3p5P11  106751.487  9.500e+05   3  0.0899  6.670e-15   OI0777   1.614e+01   1.123e-03   1.813e-02 
   0.4968767  O_6d5D3p5P21  106751.474  4.430e+05   5  0.0699  6.670e-15   OI0777   1.614e+01   8.731e-04   1.409e-02 
   0.4969263  O_6d5D3p5P12  106751.487  3.160e+05   3  0.0299  6.670e-15   OI0777   1.614e+01   3.737e-04   6.031e-03 
   0.4969266  O_6d5D3p5P22  106751.474  7.380e+05   5  0.1165  6.670e-15   OI0777   1.614e+01   1.455e-03   2.348e-02 
   0.4969270  O_6d5D3p5P32  106751.458  8.440e+05   7  0.1865  6.670e-15   OI0777   1.614e+01   2.329e-03   3.759e-02 
   0.4970174  O_6d5D3p5P23  106751.474  8.430e+04   5  0.0133  6.670e-15   OI0777   1.614e+01   1.662e-04   2.682e-03 
   0.4970178  O_6d5D3p5P33  106751.458  4.220e+05   7  0.0932  6.670e-15   OI0777   1.614e+01   1.164e-03   1.879e-02 
   0.4970181  O_6d5D3p5P43  106751.447  1.270e+06   9  0.3607  6.670e-15   OI0777   1.614e+01   4.506e-03   7.272e-02 
   0.5020182  O_7s5S3p5P21  106545.354  4.280e+05   5  0.2001  2.680e-15   OI0777   1.614e+01   1.004e-03   1.621e-02 
   0.5020691  O_7s5S3p5P22  106545.354  7.130e+05   5  0.3333  2.680e-15   OI0777   1.614e+01   1.673e-03   2.700e-02 
   0.5021618  O_7s5S3p5P23  106545.354  9.980e+05   5  0.4666  2.680e-15   OI0777   1.614e+01   2.342e-03   3.779e-02 
   0.5330578  O_5d5D3p5P01  105385.449  2.710e+06   1  0.0400  1.440e-14   OI0777   1.614e+01   1.079e-03   1.741e-02 
   0.5330582  O_5d5D3p5P11  105385.436  2.030e+06   3  0.0899  1.440e-14   OI0777   1.614e+01   2.424e-03   3.912e-02 
   0.5330589  O_5d5D3p5P21  105385.409  9.480e+05   5  0.0700  1.440e-14   OI0777   1.614e+01   1.887e-03   3.045e-02 
   0.5331156  O_5d5D3p5P12  105385.436  6.770e+05   3  0.0300  1.440e-14   OI0777   1.614e+01   8.085e-04   1.305e-02 
   0.5331164  O_5d5D3p5P22  105385.409  1.580e+06   5  0.1166  1.440e-14   OI0777   1.614e+01   3.145e-03   5.075e-02 
   0.5331173  O_5d5D3p5P32  105385.377  1.810e+06   7  0.1870  1.440e-14   OI0777   1.614e+01   5.043e-03   8.140e-02 
   0.5332209  O_5d5D3p5P23  105385.409  1.800e+05   5  0.0133  1.440e-14   OI0777   1.614e+01   3.583e-04   5.782e-03 
   0.5332218  O_5d5D3p5P33  105385.377  9.020e+05   7  0.0932  1.440e-14   OI0777   1.614e+01   2.513e-03   4.056e-02 
   0.5332224  O_5d5D3p5P43  105385.354  2.710e+06   9  0.3600  1.440e-14   OI0777   1.614e+01   9.709e-03   1.567e-01 
   0.5436688  O_6s5S3p5P21  105019.307  7.740e+05   5  0.2003  5.760e-15   OI0777   1.614e+01   2.161e-03   3.487e-02 
   0.5437286  O_6s5S3p5P22  105019.307  1.290e+06   5  0.3339  5.760e-15   OI0777   1.614e+01   3.601e-03   5.812e-02 
   0.5438373  O_6s5S3p5P23  105019.307  1.800e+06   5  0.4658  5.760e-15   OI0777   1.614e+01   5.025e-03   8.110e-02 
   0.5514133  O_6d3D3p3P21  106765.803  2.690e+05   5  0.2504  2.240e-16   OI0845   6.654e+00   7.036e-04   4.682e-03 
   0.5514133  O_6d3D3p3P11  106765.803  1.490e+05   3  0.0832  2.240e-16   OI0845   6.654e+00   2.338e-04   1.556e-03 
   0.5514303  O_6d3D3p3P12  106765.803  9.950e+03   3  0.0056  2.240e-16   OI0845   6.654e+00   1.562e-05   1.039e-04 
   0.5514303  O_6d3D3p3P32  106765.803  3.580e+05   7  0.4665  2.240e-16   OI0845   6.654e+00   1.311e-03   8.723e-03 
   0.5514303  O_6d3D3p3P22  106765.803  8.950e+04   5  0.0833  2.240e-16   OI0845   6.654e+00   2.341e-04   1.558e-03 
   0.5514351  O_6d3D3p3P10  106765.803  1.990e+05   3  0.1111  2.240e-16   OI0845   6.654e+00   3.123e-04   2.078e-03 
   0.5960036  O_5d3D3p3P21  105409.008  6.800e+05   5  0.2500  6.590e-16   OI0845   6.654e+00   2.067e-03   1.376e-02 
   0.5960036  O_5d3D3p3P11  105409.008  3.780e+05   3  0.0834  6.590e-16   OI0845   6.654e+00   6.895e-04   4.588e-03 
   0.5960235  O_5d3D3p3P32  105409.008  9.060e+05   7  0.4664  6.590e-16   OI0845   6.654e+00   3.856e-03   2.566e-02 
   0.5960235  O_5d3D3p3P22  105409.008  2.270e+05   5  0.0835  6.590e-16   OI0845   6.654e+00   6.901e-04   4.592e-03 
   0.5960235  O_5d3D3p3P12  105409.008  2.520e+04   3  0.0056  6.590e-16   OI0845   6.654e+00   4.597e-05   3.059e-04 
   0.5960291  O_5d3D3p3P10  105409.008  5.040e+05   3  0.1112  6.590e-16   OI0845   6.654e+00   9.194e-04   6.117e-03 
   0.6047907  O_6s3S3p3P11  105165.232  1.050e+06   3  0.3333  1.790e-16   OI0845   6.654e+00   7.486e-04   4.981e-03 
   0.6048112  O_6s3S3p3P12  105165.232  1.750e+06   3  0.5556  1.790e-16   OI0845   6.654e+00   1.248e-03   8.302e-03 
   0.6048169  O_6s3S3p3P10  105165.232  3.500e+05   3  0.1111  1.790e-16   OI0845   6.654e+00   2.495e-04   1.660e-03 
   0.6157665  O_4d5D3p5P01  102865.679  7.620e+06   1  0.0400  4.140e-14   OI0777   1.614e+01   3.100e-03   5.003e-02 
   0.6157674  O_4d5D3p5P11  102865.655  5.720e+06   3  0.0900  4.140e-14   OI0777   1.614e+01   6.981e-03   1.127e-01 
   0.6157693  O_4d5D3p5P21  102865.606  2.670e+06   5  0.0701  4.140e-14   OI0777   1.614e+01   5.431e-03   8.766e-02 
   0.6158441  O_4d5D3p5P12  102865.655  1.910e+06   3  0.0301  4.140e-14   OI0777   1.614e+01   2.331e-03   3.762e-02 
   0.6158459  O_4d5D3p5P22  102865.606  4.450e+06   5  0.1168  4.140e-14   OI0777   1.614e+01   9.052e-03   1.461e-01 
   0.6158482  O_4d5D3p5P32  102865.547  5.080e+06   7  0.1866  4.140e-14   OI0777   1.614e+01   1.447e-02   2.335e-01 
   0.6159854  O_4d5D3p5P23  102865.606  5.070e+05   5  0.0133  4.140e-14   OI0777   1.614e+01   1.031e-03   1.664e-02 
   0.6159876  O_4d5D3p5P33  102865.547  2.540e+06   7  0.0933  4.140e-14   OI0777   1.614e+01   7.233e-03   1.167e-01 
   0.6159892  O_4d5D3p5P43  102865.506  7.620e+06   9  0.3599  4.140e-14   OI0777   1.614e+01   2.790e-02   4.503e-01 
   0.6455386  O_5s5S3p5P21  102116.698  1.650e+06   5  0.2000  1.630e-14   OI0777   1.614e+01   6.105e-03   9.853e-02 
   0.6456228  O_5s5S3p5P22  102116.698  2.750e+06   5  0.3333  1.630e-14   OI0777   1.614e+01   1.017e-02   1.642e-01 
   0.6457761  O_5s5S3p5P23  102116.698  3.850e+06   5  0.4667  1.630e-14   OI0777   1.614e+01   1.424e-02   2.299e-01 
   0.7003830  O_4d3D3p3P11  102908.489  1.470e+06   3  0.0833  3.160e-15   OI0845   6.654e+00   3.302e-03   2.197e-02 
   0.7003853  O_4d3D3p3P21  102908.443  2.650e+06   5  0.2502  3.160e-15   OI0845   6.654e+00   9.920e-03   6.600e-02 
   0.7004104  O_4d3D3p3P12  102908.489  9.830e+04   3  0.0056  3.160e-15   OI0845   6.654e+00   2.208e-04   1.469e-03 
   0.7004127  O_4d3D3p3P22  102908.443  8.830e+05   5  0.0834  3.160e-15   OI0845   6.654e+00   3.305e-03   2.199e-02 
   0.7004161  O_4d3D3p3P32  102908.374  3.530e+06   7  0.4666  3.160e-15   OI0845   6.654e+00   1.850e-02   1.231e-01 
   0.7004181  O_4d3D3p3P10  102908.489  1.960e+06   3  0.1110  3.160e-15   OI0845   6.654e+00   4.402e-03   2.929e-02 
   0.7256153  O_5s3S3p3P11  102411.995  2.240e+06   3  0.3336  4.120e-16   OI0845   6.654e+00   1.724e-03   1.147e-02 
   0.7256447  O_5s3S3p3P12  102411.995  3.730e+06   3  0.5555  4.120e-16   OI0845   6.654e+00   2.871e-03   1.911e-02 
   0.7256530  O_5s3S3p3P10  102411.995  7.450e+05   3  0.1109  4.120e-16   OI0845   6.654e+00   5.735e-04   3.816e-03 
   0.7774083  O_3p5P3s5S32   86631.454  3.690e+07   7  0.4667  5.340e-13   OI0777   1.614e+01   4.667e-01   7.532e+00 
   0.7776305  O_3p5P3s5S22   86627.778  3.690e+07   5  0.3333  5.340e-13   OI0777   1.614e+01   3.333e-01   5.380e+00 
   0.7777527  O_3p5P3s5S12   86625.757  3.690e+07   3  0.2000  5.340e-13   OI0777   1.614e+01   2.000e-01   3.228e+00 
   0.8448568  O_3p3P3s3S01   88631.303  3.220e+07   1  0.1111  7.970e-14   OI0845   6.654e+00   1.111e-01   7.393e-01 
   0.8448680  O_3p3P3s3S21   88631.146  3.220e+07   5  0.5556  7.970e-14   OI0845   6.654e+00   5.556e-01   3.697e+00 
   0.8449079  O_3p3P3s3S11   88630.587  3.220e+07   3  0.3333  7.970e-14   OI0845   6.654e+00   3.333e-01   2.218e+00 
