# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Reference populations and intensities from the O2 population model for lines
# with HITRAN2020 data (intensities consistent with pmd_reflineint_mol.dat)
# 
# Column names:
# lam: vacuum wavelength in µm (HITRAN2020)
# ID: 13 characters describing upper and lower states (HITRAN2020)
#     (see pmd_reflineint_mol.dat for details)
# isot: isotopologue (1616 or 1618)
# eli: electronic upper state (a or b)
# vi: vibrational level of upper state
# Ni: rotational level of upper state
# Ei: energy of upper state in 1/cm (HITRAN2020)
# Aij: Einstein-A coefficient in 1/s (HITRAN2020)
# gi: statistical weight (HITRAN2020)
# y: natural logarithm of population (exp(y) in Rs)
# I: reference intensity in R (based on product of exp(y), Aij, and gi)
# 
# References:
# HITRAN2020: https://doi.org/10.1016/j.jqsrt.2021.107949
# 
      lam             ID  isot   eli  vi  Ni         Ei        Aij   gi         y           I 
 0.627833  O2bX20RQ1116d  1616     b   2  16  16271.552  8.037e-05   33   -1.1136   8.709e-04 
 0.627837  O2bX20RQ1118d  1616     b   2  18  16366.140  8.051e-05   37   -1.4554   6.950e-04 
 0.627856  O2bX20RQ1114d  1616     b   2  14  16187.730  8.028e-05   29   -0.7092   1.146e-03 
 0.627868  O2bX20RQ1120d  1616     b   2  20  16471.476  8.058e-05   41   -1.7035   6.015e-04 
 0.627905  O2bX20RQ1112d  1616     b   2  12  16114.689  8.011e-05   25   -0.2884   1.501e-03 
 0.627916  O2bX20RR1216d  1616     b   2  16  16271.552  7.396e-05   33   -1.1136   8.015e-04 
 0.627921  O2bX20RR1218d  1616     b   2  18  16366.141  7.472e-05   37   -1.4554   6.450e-04 
 0.627926  O2bX20RQ1122d  1616     b   2  22  16587.538  8.061e-05   45   -1.8602   5.646e-04 
 0.627938  O2bX20RR1214d  1616     b   2  14  16187.730  7.288e-05   29   -0.7092   1.040e-03 
 0.627952  O2bX20RR1220d  1616     b   2  20  16471.476  7.535e-05   41   -1.7035   5.624e-04 
 0.627981  O2bX20RQ1110d  1616     b   2  10  16052.443  7.984e-05   21    0.1094   1.870e-03 
 0.627986  O2bX20RR1212d  1616     b   2  12  16114.689  7.152e-05   25   -0.2884   1.340e-03 
 0.628011  O2bX20RR1222d  1616     b   2  22  16587.539  7.584e-05   45   -1.8602   5.312e-04 
 0.628012  O2bX20RQ1124d  1616     b   2  24  16714.305  8.061e-05   49   -1.9532   5.602e-04 
 0.628062  O2bX20RR1210d  1616     b   2  10  16052.443  6.965e-05   21    0.1094   1.632e-03 
 0.628084  O2bX20RQ1108d  1616     b   2   8  16001.006  7.945e-05   17    0.4583   2.136e-03 
