# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Reference populations and intensities from the OH population model for lines
# with HITRAN2020 data (intensities consistent with pmd_reflineint_mol.dat)
# 
# Column names:
# lam: vacuum wavelength in µm (HITRAN2020)
# ID: 13 characters describing upper and lower states (HITRAN2020)
#     (see pmd_reflineint_mol.dat for details)
# vi: vibrational level of upper state
# Fi: electronic substate of upper state (1 or 2)
# Ni: rotational level of upper state
# pi: parity of upper state (e or f)
# Ei: energy of upper state in 1/cm (HITRAN2020)
# Aij: Einstein-A coefficient in 1/s (HITRAN2020)
# Aijc: corrected Einstein-A coefficient in 1/s (see pmd_corrA_Ohbands.dat
#       for branch and band corrections and noll+20 for Lambda doublets)
# gi: statistical weight (HITRAN2020)
# y: natural logarithm of population (exp(y) in Rs)
# I: reference intensity in R (based on product of exp(y), Aijc, and gi)
# 
# References:
# HITRAN2020: https://doi.org/10.1016/j.jqsrt.2021.107949
# noll+20: https://doi.org/10.5194/acp-20-5269-2020
#
# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Reference populations and intensities from the OH population model for lines
# with HITRAN2020 data (intensities consistent with pmd_reflineint_mol.dat)
# 
# Column names:
# lam: vacuum wavelength in µm (HITRAN2020)
# ID: 13 characters describing upper and lower states (HITRAN2020)
# (see pmd_reflineint_mol.dat for details)
# vi: vibrational level of upper state
# Fi: electronic substate of upper state (1 or 2)
# Ni: rotational level of upper state
# pi: parity of upper state (e or f)
# Ei: energy of upper state in 1/cm (HITRAN2020)
# Aij: Einstein-A coefficient in 1/s (HITRAN2020)
# Aijc: corrected Einstein-A coefficient in 1/s (see pmd_corrA_Ohbands.dat
# for branch and band corrections and noll+20 for Lambda doublets)
# gi: statistical weight (HITRAN2020)
# y: natural logarithm of population (exp(y) in Rs)
# I: reference intensity in R (based on product of exp(y), Aijc, and gi)
# 
# References:
# HITRAN2020: https://doi.org/10.1016/j.jqsrt.2021.107949
# noll+20: https://doi.org/10.5194/acp-20-5269-2020
# 
lam ID vi Fi Ni pi Ei Aij Aijc gi y I
0.351354000 OHXXX0SR2104e 10 2 4 e 28545.059000000 4.285000000000e-09 3.553000000000e-09 16 -5.633 2.034000000000e-10
0.351355000 OHXXX0SR2104f 10 2 4 f 28545.133000000 4.061000000000e-09 3.553000000000e-09 16 -5.634 2.032000000000e-10
0.351356000 OHXXX0SR2103f 10 2 3 f 28461.253000000 1.110000000000e-11 1.123000000000e-11 12 -5.218 7.301000000000e-13
0.351356000 OHXXX0SR2103e 10 2 3 e 28461.148000000 1.430000000000e-11 1.123000000000e-11 12 -5.217 7.307000000000e-13
0.351490000 OHXXX0SR2105e 10 2 5 e 28652.251000000 1.687000000000e-08 1.351000000000e-08 20 -6.165 5.677000000000e-10
0.351495000 OHXXX0SR2105f 10 2 5 f 28652.251000000 1.607000000000e-08 1.351000000000e-08 20 -6.165 5.677000000000e-10
0.351776000 OHXXX0SR2106e 10 2 6 e 28782.301000000 3.540000000000e-08 2.733000000000e-08 24 -6.811 7.228000000000e-10
0.351787000 OHXXX0SR2106f 10 2 6 f 28782.185000000 3.377000000000e-08 2.733000000000e-08 24 -6.81 7.234000000000e-10
0.352100000 OHXXX0RQ2102f 10 2 2 f 28400.996000000 9.086000000000e-08 6.643000000000e-08 8 -4.919 3.884000000000e-09
0.352102000 OHXXX0RQ2102e 10 2 2 e 28400.900000000 9.237000000000e-08 6.643000000000e-08 8 -4.918 3.887000000000e-09
0.352222000 OHXXX0SR2107e 10 2 7 e 28934.759000000 5.697000000000e-08 4.241000000000e-08 28 -7.567 6.140000000000e-10
0.352241000 OHXXX0SR2107f 10 2 7 f 28934.485000000 5.446000000000e-08 4.241000000000e-08 28 -7.565 6.153000000000e-10
0.352391000 OHXXX0RQ2103f 10 2 3 f 28461.253000000 1.019000000000e-07 5.617000000000e-08 12 -5.218 3.653000000000e-09
0.352395000 OHXXX0RQ2103e 10 2 3 e 28461.148000000 1.042000000000e-07 5.617000000000e-08 12 -5.217 3.656000000000e-09
0.352552000 OHXXX0QP2101f 10 2 1 f 28364.682000000 4.447000000000e-07 4.688000000000e-07 4 -4.739 1.641000000000e-08
0.352552000 OHXXX0QP2101e 10 2 1 e 28364.626000000 4.485000000000e-07 4.688000000000e-07 4 -4.738 1.642000000000e-08
0.352818000 OHXXX0RQ2104f 10 2 4 f 28545.133000000 1.037000000000e-07 4.308000000000e-08 16 -5.634 2.464000000000e-09
0.352825000 OHXXX0RQ2104e 10 2 4 e 28545.059000000 1.066000000000e-07 4.308000000000e-08 16 -5.633 2.465000000000e-09
0.352837000 OHXXX0SR2108e 10 2 8 e 29109.153000000 7.961000000000e-08 5.715000000000e-08 32 -8.433 3.980000000000e-10
0.352865000 OHXXX0SR2108f 10 2 8 f 29108.684000000 7.627000000000e-08 5.715000000000e-08 32 -8.429 3.994000000000e-10
0.353143000 OHXXX0QP2102e 10 2 2 e 28400.900000000 3.137000000000e-07 3.392000000000e-07 8 -4.918 1.985000000000e-08
0.353144000 OHXXX0QP2102f 10 2 2 f 28400.996000000 3.088000000000e-07 3.392000000000e-07 8 -4.919 1.983000000000e-08
0.353393000 OHXXX0RQ2105f 10 2 5 f 28652.251000000 1.028000000000e-07 3.215000000000e-08 20 -6.165 1.351000000000e-09
0.353403000 OHXXX0RQ2105e 10 2 5 e 28652.251000000 1.060000000000e-07 3.215000000000e-08 20 -6.165 1.351000000000e-09
