# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
#
# Reference populations and intensities from the OH population model for lines
# with HITRAN2020 data (intensities consistent with pmd_reflineint_mol.dat)
#
# Column names:
# lam: vacuum wavelength in µm (HITRAN2020)
# ID: 13 characters describing upper and lower states (HITRAN2020)
# (see pmd_reflineint_mol.dat for details)
# vi: vibrational level of upper state
# Fi: electronic substate of upper state (1 or 2)
# Ni: rotational level of upper state
# pi: parity of upper state (e or f)
# Ei: energy of upper state in 1/cm (HITRAN2020)
# Aij: Einstein-A coefficient in 1/s (HITRAN2020)
# Aijc: corrected Einstein-A coefficient in 1/s (see pmd_corrA_Ohbands.dat
# for branch and band corrections and noll+20 for Lambda doublets)
# gi: statistical weight (HITRAN2020)
# y: natural logarithm of population (exp(y) in Rs)
# I: reference intensity in R (based on product of exp(y), Aijc, and gi)
#
# References:
# HITRAN2020: https://doi.org/10.1016/j.jqsrt.2021.107949
# noll+20: https://doi.org/10.5194/acp-20-5269-2020
#
#
# lvmsky empirical OH coefficients for Skyfar-response calibration.
# Parent PALACE table: pmd_popmodel_OH_telluric_upper_parity_lsf_adam_25000_v1.dat
# Run fingerprint: a53af79abce4efaf70f7faa036ab6b16049d8b015227e5656c5e835ac1243d2b
# Calibration: fixed-baseline linear weighted SSE with VNF q-closure; ridge lambda=0.1.
# Corpus: 12857 FLUX_SKY_FAR spectra; MJD-disjoint train/validation/holdout.
# Mapping: 22058 rows; only Aijc and I changed; sum(Aijc * gi) preserved per (vi, Ni, Fi) VNF group.
lam ID vi Fi Ni pi Ei Aij Aijc gi y I
0.351354 OHXXX0SR2104e 10 2 4 e 28545.059 4.285e-09 3.553e-09 16 -5.633 2.034e-10
0.351355 OHXXX0SR2104f 10 2 4 f 28545.133 4.061e-09 3.553e-09 16 -5.634 2.032e-10
0.351356 OHXXX0SR2103f 10 2 3 f 28461.253 1.11e-11 1.123e-11 12 -5.218 7.301e-13
0.351356 OHXXX0SR2103e 10 2 3 e 28461.148 1.43e-11 1.123e-11 12 -5.217 7.307e-13
0.35149 OHXXX0SR2105e 10 2 5 e 28652.251 1.687e-08 1.351e-08 20 -6.165 5.677e-10
0.351495 OHXXX0SR2105f 10 2 5 f 28652.251 1.607e-08 1.351e-08 20 -6.165 5.677e-10
0.351776 OHXXX0SR2106e 10 2 6 e 28782.301 3.54e-08 2.733e-08 24 -6.811 7.228e-10
0.351787 OHXXX0SR2106f 10 2 6 f 28782.185 3.377e-08 2.733e-08 24 -6.81 7.234e-10
0.3521 OHXXX0RQ2102f 10 2 2 f 28400.996 9.086e-08 6.643e-08 8 -4.919 3.884e-09
0.352102 OHXXX0RQ2102e 10 2 2 e 28400.9 9.237e-08 6.643e-08 8 -4.918 3.887e-09
0.352222 OHXXX0SR2107e 10 2 7 e 28934.759 5.697e-08 4.241e-08 28 -7.567 6.14e-10
0.352241 OHXXX0SR2107f 10 2 7 f 28934.485 5.446e-08 4.241e-08 28 -7.565 6.153e-10
0.352391 OHXXX0RQ2103f 10 2 3 f 28461.253 1.019e-07 5.617e-08 12 -5.218 3.653e-09
0.352395 OHXXX0RQ2103e 10 2 3 e 28461.148 1.042e-07 5.617e-08 12 -5.217 3.656e-09
