# HYBRID diffuse continuum: canonical PALACE fcHO2 + fcFeO, LVM-refit fcO2Ac.
# Built 2026-09-10 to test whether the canonical set's blue deficit is the
# O2Ac component: canonical O2Ac peaks at 3220 A, outside the LVM window, so
# only its noisy UV tail lands in 3600-9800 A.
# lam/trans/fH2O/isX interpolated from canonical onto the native LVM grid;
# fcO2Ac copied verbatim from pmd_refcont_joint_native_adam_invsky_p2_10000iter.dat.
# Units unchanged: fc* are reference continuum flux in R/nm.
#
lam trans fH2O fcHO2 fcFeO fcO2Ac isX
0.36 0.9967 0.0 0.183 0.488 1.421225372810171 1
0.36005 0.9967 0.0 0.183 0.488 1.2846493330063464 1
0.3601 0.9967 0.0 0.183 0.488 1.1852640787597388 1
0.36015 0.9967 0.0 0.183 0.488 1.1153831442424427 1
0.3601999755859375 0.9967 0.0 0.183 0.489 1.069842776660671 1
0.36025 0.9967 0.0 0.183 0.489 1.041452387048448 1
0.3603 0.9967 0.0 0.183 0.489 1.0247222456648912 1
0.36035 0.9967 0.0 0.183 0.489 1.0141636111282704 1
0.3604 0.9967 0.0 0.183 0.489 1.0029814396775947 1
0.36045 0.9966 0.0 0.183 0.489 0.9855793977761801 1
0.3605 0.9966 0.0 0.183 0.489 0.9564355285312168 1
0.36055 0.9966 0.0 0.183 0.489 0.9116020752650988 1
0.3606000244140625 0.9966 0.0 0.183 0.489 0.8546467707034064 1
0.36065 0.9966 0.0 0.182 0.49 0.7916234246160144 1
0.3607 0.9966 0.0 0.182 0.49 0.7276251906975769 1
0.36075 0.9967 0.0 0.182 0.49 0.6673609392052499 1
0.3608 0.9967 0.0 0.182 0.49 0.6166120131963749 1
0.36085 0.9967 0.0 0.182 0.49 0.5800843080333772 1
0.3609 0.9967 0.0 0.182 0.49 0.563976957436762 1
0.36095 0.9967 0.0 0.182 0.49 0.5736144862244974 1
0.3609999755859375 0.9967 0.0 0.182 0.49 0.6149565474487485 1
0.36105 0.9968 0.0 0.182 0.49 0.6931468996133051 1
0.3611 0.9968 0.0 0.182 0.491 0.8038802460211849 1
0.36115 0.9968500000000001 0.0 0.182 0.491 0.9432204548420347 1
0.3612 0.9969 0.0 0.182 0.491 1.1055915902900604 1
0.36125 0.9969 0.0 0.182 0.491 1.2857623212794047 1
0.3613 0.997 0.0 0.182 0.491 1.47831811255117 1
0.36135 0.997 0.0 0.182 0.491 1.6781749702942583 1
0.3614000244140625 0.9971 0.0 0.182 0.491 1.879088360793728 1
0.36145 0.9971 0.0 0.182 0.491 2.0738720887213766 1
0.3615 0.9972 0.0 0.182 0.491 2.256809563926895 1
0.36155 0.99725 0.0 0.182 0.4915 2.422790684184694 1
0.3616 0.9973 0.0 0.182 0.492 2.5681826646449215 1
0.36165 0.9973500000000001 0.0 0.182 0.492 2.694186951710564 1
0.3617 0.9974 0.0 0.182 0.492 2.8005064907322517 1
0.36175 0.9975 0.0 0.182 0.492 2.887645188723435 1
0.3617999755859375 0.9975 0.0 0.182 0.492 2.952595445071747 1
0.36185 0.9976 0.0 0.182 0.492 2.9992796090619667 1
0.3619 0.9977 0.0 0.182 0.492 3.022785522501466 1
0.36195 0.99775 0.0 0.182 0.492 3.0251628630826013 1
0.362 0.9978 0.0 0.181 0.493 3.0065876601292048 1
0.36205 0.99785 0.0 0.181 0.493 2.9661950885988495 1
0.3621 0.9979 0.0 0.181 0.493 2.9061816983086057 1
0.36215 0.998 0.0 0.181 0.493 2.8313308608164007 1
0.3622000244140625 0.9981 0.0 0.181 0.493 2.746566161149621 1
0.36225 0.9981 0.0 0.181 0.493 2.654531880115683 1
0.3623 0.9982 0.0 0.181 0.493 2.56094523004656 1
0.36235 0.99825 0.0 0.181 0.493 2.47078325418488 1
0.3624 0.9983 0.0 0.181 0.493 2.3906741388311534 1
0.36245 0.9984 0.0 0.181 0.494 2.3265080842094283 1
0.3625 0.9984 0.0 0.181 0.494 2.284745570732583 1
0.36255 0.9985 0.0 0.181 0.494 2.2713295286351842 1
0.3625999755859375 0.9985 0.0 0.181 0.494 2.2862058790917263 1
0.36265 0.9986 0.0 0.181 0.494 2.3266418266035185 1
0.3627 0.9986 0.0 0.181 0.494 2.3905577795563535 1
0.36275 0.9987 0.0 0.181 0.494 2.4766728819002193 1
0.3628 0.9987 0.0 0.181 0.494 2.5792797612979923 1
0.36285 0.9988 0.0 0.181 0.494 2.6975214135621624 1
0.3629 0.9988 0.0 0.181 0.495 2.827138750328976 1
0.36295 0.9989 0.0 0.181 0.495 2.9634837729230963 1
0.3630000244140625 0.9989 0.0 0.181 0.495 3.102801341336364 1
0.36305 0.99895 0.0 0.181 0.495 3.2411113626889745 1
0.3631 0.999 0.0 0.181 0.495 3.374370259175974 1
0.36315 0.999 0.0 0.181 0.495 3.5009515585664563 1
0.3632 0.999 0.0 0.181 0.495 3.61804618258981 1
0.36325 0.9991 0.0 0.181 0.495 3.7221307272345476 1
0.3633 0.9991 0.0 0.181 0.495 3.813966535838797 1
0.36335 0.99915 0.0 0.181 0.496 3.888756646869998 1
0.3633999755859375 0.9992 0.0 0.18 0.496 3.947511084026778 1
0.36345 0.9992 0.0 0.18 0.496 3.9870312221102497 1
0.3635 0.9992 0.0 0.18 0.496 4.005448335951678 1
0.36355 0.9993 0.0 0.18 0.496 4.0033169110152995 1
0.3636 0.9993 0.0 0.18 0.496 3.9814886723481315 1
0.36365 0.9993 0.0 0.18 0.496 3.9423863724032437 1
0.3637 0.9994 0.0 0.18 0.496 3.889864042680717 1
0.36375 0.9994 0.0 0.18 0.496 3.823438495473586 1
0.3638000244140625 0.9994 0.0 0.18 0.497 3.7469689197367817 1
0.36385 0.9994 0.0 0.18 0.497 3.6610326335269336 1
0.3639 0.9995 0.0 0.18 0.497 3.5688290657992177 1
0.36395 0.9995 0.0 0.18 0.497 3.4705502693026964 1
0.364 0.9995 0.0 0.18 0.497 3.3703624581626186 1
0.36405 0.9995 0.0 0.18 0.497 3.2707888794145665 1
0.3641 0.9995 0.0 0.18 0.497 3.1707155917357914 1
0.36415 0.9995 0.0 0.18 0.497 3.0717298208942725 1
0.3641999755859375 0.9995 0.0 0.18 0.497 2.9753715084806176 1
0.36425 0.9995 0.0 0.18 0.498 2.882389005052519 1
0.3643 0.9995 0.0 0.18 0.498 2.7937824481126587 1
0.36435 0.9995 0.0 0.18 0.498 2.7103385452913358 1
0.3644 0.9996 0.0 0.18 0.498 2.63285591727407 1
0.36445 0.9996 0.0 0.18 0.498 2.5634853992114395 1
0.3645 0.9996 0.0 0.18 0.498 2.5014942244063896 1
0.36455 0.9996 0.0 0.18 0.498 2.448516550212979 1
0.3646000244140625 0.9996 0.0 0.18 0.498 2.4027432462828497 1
0.36465 0.9996 0.0 0.18 0.4984999999999986 2.3625324431676114 1
0.3647 0.9996 0.0 0.18 0.499 2.326991102700095 1
0.36475 0.9996 0.0 0.1794999999999986 0.499 2.2944482409459455 1
0.3648 0.9996 0.0 0.179 0.499 2.2640859311827217 1
0.36485 0.9996 0.0 0.179 0.499 2.2338310906210044 1
0.3649 0.9996 0.0 0.179 0.499 2.203308202457623 1
0.36495 0.9997 0.0 0.179 0.499 2.1696531904074114 1
0.3649999755859375 0.9997 0.0 0.179 0.499 2.1333171584851174 1
0.36505 0.9997 0.0 0.179 0.499 2.0929225867324575 1
0.3651 0.9997 0.0 0.179 0.5 2.0509816558520533 1
0.36515 0.9997 0.0 0.179 0.5 2.009481459528396 1
0.3652 0.9997 0.0 0.179 0.5 1.9719762951545552 1
0.36525 0.9997 0.0 0.179 0.5 1.940162999994218 1
0.3653 0.9997 0.0 0.179 0.5 1.9165831255569228 1
0.36535 0.99975 0.0 0.179 0.5 1.9027822680507391 1
