# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Reference continuum components of PALACE (consistent with palace_cont.fits)
# based on X-shooter-related measurements (noll+24)
# 
# Column names:
# lam: vacuum wavelength in µm
# trans: atmospheric transmission for standard conditions at Cerro Paranal
#        (noll+12), PWV = 2.5 mm, and zenith
# fH2O: fraction of H2O with respect to optical depth (based on transmission
#       spectra with PWV = 1 and 5 mm)
# fcHO2: reference continuum flux in R/nm for variability class HO2
# fcFeO: reference continuum flux in R/nm for variability class FeO
# fcO2Ac: reference continuum flux in R/nm for variability class O2Ac
# isX: wavelength with X-shooter measurements (noll+24)? 1 = yes, 0 = no
# 
# References:
# noll+12: https://doi.org/10.1051/0004-6361/201219040
# noll+24: https://doi.org/10.5194/acp-24-1143-2024
# 
     lam   trans   fH2O    fcHO2    fcFeO   fcO2Ac  isX 
 0.30000  0.0000  0.000    0.216    0.405    3.698    0 
 0.30002  0.0428  0.000    0.216    0.405    3.698    0 
 0.30004  0.0861  0.000    0.216    0.405    3.697    0 
 0.30006  0.0863  0.000    0.216    0.405    3.696    0 
 0.30008  0.0867  0.000    0.216    0.405    3.695    0 
 0.30010  0.0872  0.000    0.216    0.405    3.695    0 
 0.30012  0.0876  0.000    0.216    0.405    3.694    0 
 0.30014  0.0878  0.000    0.216    0.405    3.693    0 
 0.30016  0.0881  0.000    0.216    0.406    3.692    0 
 0.30018  0.0886  0.000    0.216    0.406    3.692    0 
 0.30020  0.0892  0.000    0.216    0.406    3.691    0 
 0.30022  0.0900  0.000    0.216    0.406    3.690    0 
 0.30024  0.0909  0.000    0.216    0.406    3.689    0 
 0.30026  0.0916  0.000    0.216    0.406    3.689    0 
 0.30028  0.0922  0.000    0.216    0.406    3.688    0 
 0.30030  0.0927  0.000    0.216    0.406    3.687    0 
 0.30032  0.0933  0.000    0.216    0.406    3.686    0 
 0.30034  0.0937  0.000    0.216    0.406    3.686    0 
 0.30036  0.0940  0.000    0.216    0.406    3.685    0 
 0.30038  0.0942  0.000    0.216    0.406    3.684    0 
 0.30040  0.0947  0.000    0.216    0.406    3.684    0 
 0.30042  0.0954  0.000    0.216    0.406    3.683    0 
 0.30044  0.0959  0.000    0.216    0.406    3.682    0 
 0.30046  0.0964  0.000    0.216    0.406    3.681    0 
 0.30048  0.0968  0.000    0.216    0.406    3.681    0 
 0.30050  0.0972  0.000    0.216    0.406    3.680    0 
 0.30052  0.0975  0.000    0.216    0.406    3.679    0 
 0.30054  0.0977  0.000    0.216    0.406    3.678    0 
 0.30056  0.0980  0.000    0.216    0.406    3.678    0 
 0.30058  0.0984  0.000    0.216    0.406    3.677    0 
 0.30060  0.0988  0.000    0.216    0.406    3.676    0 
 0.30062  0.0994  0.000    0.216    0.406    3.675    0 
 0.30064  0.1001  0.000    0.216    0.406    3.675    0 
 0.30066  0.1009  0.000    0.216    0.406    3.674    0 
 0.30068  0.1017  0.000    0.216    0.406    3.673    0 
 0.30070  0.1027  0.000    0.216    0.406    3.672    0 
 0.30072  0.1036  0.000    0.216    0.406    3.672    0 
 0.30074  0.1045  0.000    0.216    0.406    3.671    0 
 0.30076  0.1052  0.000    0.216    0.406    3.670    0 
 0.30078  0.1059  0.000    0.216    0.406    3.669    0 
 0.30080  0.1067  0.000    0.216    0.406    3.669    0 
 0.30082  0.1076  0.000    0.216    0.406    3.668    0 
 0.30084  0.1086  0.000    0.216    0.406    3.667    0 
 0.30086  0.1097  0.000    0.216    0.406    3.666    0 
 0.30088  0.1108  0.000    0.216    0.406    3.666    0 
 0.30090  0.1116  0.000    0.216    0.406    3.665    0 
 0.30092  0.1125  0.000    0.216    0.406    3.664    0 
 0.30094  0.1137  0.000    0.216    0.406    3.663    0 
 0.30096  0.1151  0.000    0.216    0.406    3.663    0 
 0.30098  0.1163  0.000    0.216    0.406    3.662    0 
 0.30100  0.1175  0.000    0.216    0.406    3.661    0 
 0.30102  0.1186  0.000    0.216    0.406    3.660    0 
 0.30104  0.1194  0.000    0.216    0.406    3.660    0 
 0.30106  0.1203  0.000    0.216    0.406    3.659    0 
 0.30108  0.1210  0.000    0.216    0.406    3.658    0 
 0.30110  0.1219  0.000    0.216    0.406    3.657    0 
 0.30112  0.1231  0.000    0.216    0.406    3.657    0 
 0.30114  0.1245  0.000    0.216    0.406    3.656    0 
 0.30116  0.1260  0.000    0.216    0.406    3.655    0 
 0.30118  0.1275  0.000    0.216    0.406    3.654    0 
 0.30120  0.1288  0.000    0.216    0.406    3.654    0 
 0.30122  0.1295  0.000    0.216    0.406    3.653    0 
 0.30124  0.1302  0.000    0.216    0.406    3.652    0 
 0.30126  0.1310  0.000    0.216    0.406    3.652    0 
 0.30128  0.1318  0.000    0.216    0.406    3.651    0 
 0.30130  0.1326  0.000    0.216    0.406    3.650    0 
 0.30132  0.1332  0.000    0.216    0.406    3.649    0 
 0.30134  0.1338  0.000    0.216    0.406    3.649    0 
 0.30136  0.1343  0.000    0.216    0.406    3.648    0 
 0.30138  0.1349  0.000    0.216    0.406    3.647    0 
 0.30140  0.1358  0.000    0.216    0.406    3.646    0 
 0.30142  0.1367  0.000    0.216    0.406    3.646    0 
 0.30144  0.1376  0.000    0.216    0.406    3.645    0 
 0.30146  0.1385  0.000    0.216    0.406    3.644    0 
 0.30148  0.1394  0.000    0.216    0.406    3.643    0 
 0.30150  0.1403  0.000    0.216    0.406    3.643    0 
 0.30152  0.1411  0.000    0.216    0.406    3.642    0 
 0.30154  0.1416  0.000    0.216    0.406    3.641    0 
 0.30156  0.1421  0.000    0.216    0.406    3.640    0 
 0.30158  0.1425  0.000    0.216    0.406    3.640    0 
 0.30160  0.1428  0.000    0.216    0.406    3.639    0 
 0.30162  0.1430  0.000    0.216    0.406    3.638    0 
 0.30164  0.1433  0.000    0.216    0.406    3.637    0 
 0.30166  0.1437  0.000    0.216    0.406    3.637    0 
 0.30168  0.1440  0.000    0.216    0.406    3.636    0 
 0.30170  0.1443  0.000    0.216    0.406    3.635    0 
 0.30172  0.1448  0.000    0.216    0.406    3.634    0 
 0.30174  0.1451  0.000    0.216    0.406    3.634    0 
 0.30176  0.1454  0.000    0.216    0.406    3.633    0 
 0.30178  0.1457  0.000    0.216    0.406    3.632    0 
 0.30180  0.1459  0.000    0.216    0.407    3.631    0 
 0.30182  0.1460  0.000    0.216    0.407    3.631    0 
 0.30184  0.1463  0.000    0.216    0.407    3.630    0 
 0.30186  0.1468  0.000    0.216    0.407    3.629    0 
 0.30188  0.1473  0.000    0.216    0.407    3.628    0 
 0.30190  0.1476  0.000    0.216    0.407    3.628    0 
 0.30192  0.1479  0.000    0.216    0.407    3.627    0 
 0.30194  0.1483  0.000    0.216    0.407    3.626    0 
 0.30196  0.1486  0.000    0.216    0.407    3.625    0 
 0.30198  0.1490  0.000    0.216    0.407    3.625    0 
 0.30200  0.1494  0.000    0.216    0.407    3.624    0 
 0.30202  0.1500  0.000    0.216    0.407    3.623    0 
 0.30204  0.1506  0.000    0.216    0.407    3.622    0 
 0.30206  0.1513  0.000    0.216    0.407    3.622    0 
 0.30208  0.1520  0.000    0.216    0.407    3.621    0 
 0.30210  0.1525  0.000    0.216    0.407    3.620    0 
 0.30212  0.1532  0.000    0.216    0.407    3.619    0 
 0.30214  0.1538  0.000    0.216    0.407    3.619    0 
 0.30216  0.1546  0.000    0.216    0.407    3.618    0 
 0.30218  0.1555  0.000    0.216    0.407    3.617    0 
 0.30220  0.1564  0.000    0.216    0.407    3.616    0 
 0.30222  0.1574  0.000    0.216    0.407    3.616    0 
 0.30224  0.1583  0.000    0.216    0.407    3.615    0 
 0.30226  0.1588  0.000    0.216    0.407    3.614    0 
 0.30228  0.1591  0.000    0.216    0.407    3.613    0 
 0.30230  0.1597  0.000    0.216    0.407    3.613    0 
 0.30232  0.1604  0.000    0.216    0.407    3.612    0 
 0.30234  0.1612  0.000    0.216    0.407    3.611    0 
 0.30236  0.1619  0.000    0.216    0.407    3.610    0 
 0.30238  0.1629  0.000    0.216    0.407    3.610    0 
 0.30240  0.1643  0.000    0.216    0.407    3.609    0 
 0.30242  0.1657  0.000    0.216    0.407    3.608    0 
 0.30244  0.1669  0.000    0.216    0.407    3.607    0 
 0.30246  0.1679  0.000    0.216    0.407    3.607    0 
 0.30248  0.1690  0.000    0.216    0.407    3.606    0 
 0.30250  0.1702  0.000    0.216    0.407    3.605    0 
 0.30252  0.1714  0.000    0.216    0.407    3.604    0 
 0.30254  0.1728  0.000    0.216    0.407    3.604    0 
 0.30256  0.1740  0.000    0.216    0.407    3.603    0 
 0.30258  0.1751  0.000    0.216    0.407    3.602    0 
 0.30260  0.1761  0.000    0.216    0.407    3.601    0 
 0.30262  0.1772  0.000    0.216    0.407    3.601    0 
 0.30264  0.1784  0.000    0.216    0.407    3.600    0 
 0.30266  0.1796  0.000    0.216    0.407    3.599    0 
 0.30268  0.1810  0.000    0.216    0.407    3.598    0 
 0.30270  0.1824  0.000    0.216    0.407    3.598    0 
 0.30272  0.1838  0.000    0.216    0.407    3.597    0 
 0.30274  0.1853  0.000    0.216    0.407    3.596    0 
 0.30276  0.1868  0.000    0.216    0.407    3.595    0 
 0.30278  0.1883  0.000    0.216    0.407    3.595    0 
 0.30280  0.1896  0.000    0.216    0.407    3.594    0 
 0.30282  0.1904  0.000    0.216    0.407    3.593    0 
 0.30284  0.1913  0.000    0.216    0.407    3.592    0 
 0.30286  0.1921  0.000    0.216    0.407    3.592    0 
 0.30288  0.1931  0.000    0.216    0.407    3.591    0 
 0.30290  0.1943  0.000    0.216    0.407    3.590    0 
 0.30292  0.1956  0.000    0.216    0.407    3.589    0 
 0.30294  0.1972  0.000    0.216    0.407    3.589    0 
 0.30296  0.1989  0.000    0.216    0.407    3.588    0 
 0.30298  0.2005  0.000    0.216    0.407    3.587    0 
 0.30300  0.2021  0.000    0.216    0.407    3.586    0 
 0.30302  0.2036  0.000    0.216    0.407    3.586    0 
 0.30304  0.2050  0.000    0.216    0.407    3.585    0 
 0.30306  0.2063  0.000    0.216    0.407    3.584    0 
 0.30308  0.2074  0.000    0.216    0.407    3.583    0 
 0.30310  0.2083  0.000    0.216    0.407    3.583    0 
 0.30312  0.2091  0.000    0.216    0.407    3.582    0 
 0.30314  0.2099  0.000    0.216    0.407    3.581    0 
 0.30316  0.2107  0.000    0.216    0.407    3.580    0 
 0.30318  0.2117  0.000    0.216    0.407    3.580    0 
 0.30320  0.2128  0.000    0.216    0.407    3.579    0 
 0.30322  0.2142  0.000    0.216    0.407    3.578    0 
 0.30324  0.2156  0.000    0.216    0.407    3.577    0 
 0.30326  0.2169  0.000    0.216    0.407    3.577    0 
 0.30328  0.2179  0.000    0.216    0.407    3.576    0 
 0.30330  0.2185  0.000    0.216    0.407    3.575    0 
 0.30332  0.2183  0.000    0.216    0.407    3.574    0 
 0.30334  0.2182  0.000    0.216    0.408    3.574    0 
 0.30336  0.2182  0.000    0.216    0.408    3.573    0 
 0.30338  0.2186  0.000    0.216    0.408    3.572    0 
 0.30340  0.2199  0.000    0.216    0.408    3.571    0 
 0.30342  0.2219  0.000    0.216    0.408    3.571    0 
 0.30344  0.2231  0.000    0.216    0.408    3.570    0 
 0.30346  0.2230  0.000    0.216    0.408    3.569    0 
 0.30348  0.2230  0.000    0.216    0.408    3.568    0 
 0.30350  0.2238  0.000    0.216    0.408    3.568    0 
 0.30352  0.2247  0.000    0.216    0.408    3.567    0 
 0.30354  0.2253  0.000    0.216    0.408    3.566    0 
 0.30356  0.2255  0.000    0.216    0.408    3.565    0 
 0.30358  0.2261  0.000    0.216    0.408    3.565    0 
 0.30360  0.2269  0.000    0.216    0.408    3.564    0 
 0.30362  0.2278  0.000    0.216    0.408    3.563    0 
 0.30364  0.2280  0.000    0.216    0.408    3.562    0 
 0.30366  0.2284  0.000    0.216    0.408    3.562    0 
 0.30368  0.2291  0.000    0.216    0.408    3.561    0 
 0.30370  0.2301  0.000    0.216    0.408    3.560    0 
 0.30372  0.2308  0.000    0.216    0.408    3.559    0 
 0.30374  0.2314  0.000    0.216    0.408    3.559    0 
 0.30376  0.2319  0.000    0.216    0.408    3.558    0 
 0.30378  0.2319  0.000    0.216    0.408    3.557    0 
 0.30380  0.2318  0.000    0.216    0.408    3.556    0 
 0.30382  0.2316  0.000    0.216    0.408    3.556    0 
 0.30384  0.2314  0.000    0.216    0.408    3.555    0 
 0.30386  0.2311  0.000    0.216    0.408    3.554    0 
 0.30388  0.2308  0.000    0.216    0.408    3.553    0 
 0.30390  0.2306  0.000    0.216    0.408    3.553    0 
 0.30392  0.2307  0.000    0.216    0.408    3.552    0 
 0.30394  0.2309  0.000    0.216    0.408    3.551    0 
 0.30396  0.2311  0.000    0.216    0.408    3.550    0 
 0.30398  0.2314  0.000    0.216    0.408    3.550    0 
 0.30400  0.2315  0.000    0.216    0.408    3.549    0 
 0.30402  0.2317  0.000    0.216    0.408    3.548    0 
 0.30404  0.2321  0.000    0.216    0.408    3.547    0 
 0.30406  0.2330  0.000    0.216    0.408    3.547    0 
 0.30408  0.2337  0.000    0.216    0.408    3.546    0 
 0.30410  0.2341  0.000    0.216    0.408    3.545    0 
 0.30412  0.2347  0.000    0.216    0.408    3.544    0 
 0.30414  0.2357  0.000    0.216    0.408    3.544    0 
 0.30416  0.2371  0.000    0.216    0.408    3.543    0 
 0.30418  0.2387  0.000    0.216    0.408    3.542    0 
 0.30420  0.2405  0.000    0.216    0.408    3.541    0 
 0.30422  0.2421  0.000    0.216    0.408    3.541    0 
 0.30424  0.2434  0.000    0.216    0.408    3.540    0 
 0.30426  0.2445  0.000    0.216    0.408    3.539    0 
 0.30428  0.2455  0.000    0.216    0.408    3.538    0 
 0.30430  0.2465  0.000    0.216    0.408    3.538    0 
 0.30432  0.2475  0.000    0.216    0.408    3.537    0 
 0.30434  0.2487  0.000    0.216    0.408    3.536    0 
 0.30436  0.2499  0.000    0.216    0.408    3.535    0 
 0.30438  0.2509  0.000    0.216    0.408    3.535    0 
 0.30440  0.2520  0.000    0.216    0.408    3.534    0 
 0.30442  0.2530  0.000    0.216    0.408    3.533    0 
 0.30444  0.2540  0.000    0.216    0.408    3.532    0 
 0.30446  0.2549  0.000    0.216    0.408    3.532    0 
 0.30448  0.2559  0.000    0.216    0.408    3.531    0 
 0.30450  0.2568  0.000    0.216    0.408    3.530    0 
