# ABSOLUTE spectrograph sensitivity, [erg/s/cm^2/A] per [e-/s/A]
# arm=b  n=4401
# vendored 2026-09-18 from lvmcore/sensitivity/sens_percentiles-b.csv column 4 (of 8), sha256 b45ea7a6a4073aff
# columns: wavelength_air_angstrom,sensitivity_abs
3599.999999999998,2.2454497691962866e-13
3600.499999999998,2.244414805535616e-13
3600.999999999998,2.2433697018315044e-13
3601.499999999998,2.2423590578293335e-13
3601.999999999998,2.240925966315464e-13
3602.499999999998,2.239667538605908e-13
3602.9999999999986,2.2386662883557418e-13
3603.4999999999986,2.2372623113959238e-13
3603.999999999998,2.2366593775273871e-13
3604.499999999998,2.235806659564255e-13
3604.999999999998,2.2338948866806142e-13
3605.499999999998,2.2328994706174193e-13
3605.999999999998,2.2316558249994962e-13
3606.499999999998,2.2304513967023424e-13
3606.999999999998,2.2297915106892676e-13
3607.499999999998,2.2284473368926477e-13
3607.999999999998,2.2274911427547897e-13
3608.499999999998,2.2265571838420094e-13
3608.999999999998,2.2257074531379457e-13
3609.499999999998,2.2246203840029864e-13
3609.9999999999986,2.2229983108152905e-13
3610.4999999999986,2.2215470745487773e-13
3610.999999999998,2.2206527817677334e-13
3611.499999999998,2.2196542203035957e-13
3611.999999999998,2.2186774996887696e-13
3612.499999999998,2.2173182969699158e-13
3612.999999999998,2.2162511631757021e-13
3613.499999999998,2.214922226159354e-13
3613.999999999998,2.2135994154635136e-13
3614.499999999998,2.2126176753031112e-13
3614.999999999998,2.2119053066081488e-13
3615.499999999998,2.210592305936571e-13
3615.999999999998,2.2092988075759916e-13
3616.499999999998,2.2082932177412465e-13
3616.9999999999986,2.207110948636928e-13
3617.4999999999986,2.206025915498748e-13
3617.999999999998,2.2047406819109548e-13
3618.499999999998,2.2038664728116198e-13
3618.999999999998,2.202320712952526e-13
3619.499999999998,2.2011981543701227e-13
3619.999999999998,2.1998081709085755e-13
3620.499999999998,2.1994107554598152e-13
3620.999999999998,2.1977571455610294e-13
3621.499999999998,2.1962588615267997e-13
3621.999999999998,2.1947579784452824e-13
3622.499999999998,2.1934359883416787e-13
3622.999999999998,2.192670348607202e-13
3623.499999999998,2.1913592075761966e-13
3623.999999999998,2.1896427028330606e-13
3624.4999999999986,2.1879786699991233e-13
3624.9999999999977,2.1863591573965153e-13
3625.499999999998,2.1851626111934415e-13
3625.999999999998,2.1839591626656558e-13
3626.499999999998,2.1827072528025742e-13
3626.999999999998,2.1810861774526058e-13
3627.499999999998,2.1800070369791177e-13
3627.999999999998,2.178795798348925e-13
3628.499999999998,2.1776133473420127e-13
3628.999999999998,2.1765138229411464e-13
3629.499999999998,2.1753412779817813e-13
3629.999999999998,2.174087804347496e-13
3630.499999999998,2.1728176441691437e-13
3630.999999999998,2.1711256055872927e-13
3631.4999999999986,2.1700348319064912e-13
3631.9999999999977,2.1681995291900923e-13
3632.499999999998,2.1672509985565766e-13
3632.999999999998,2.1662024260827897e-13
3633.499999999998,2.1650280211587958e-13
3633.999999999998,2.163720644934175e-13
3634.499999999998,2.1620509190560396e-13
3634.999999999998,2.1607138587824476e-13
3635.499999999998,2.1590135491073443e-13
3635.999999999998,2.1575416865601665e-13
3636.499999999998,2.1561401338701e-13
3636.999999999998,2.1551011325926744e-13
3637.499999999998,2.1532422579784009e-13
3637.999999999998,2.15248147645669e-13
3638.4999999999986,2.1508928455194462e-13
3638.9999999999977,2.1490930018440285e-13
3639.499999999998,2.147501056358768e-13
3639.999999999998,2.1459466990035177e-13
3640.499999999998,2.1444012079328347e-13
3640.999999999998,2.1427459067201505e-13
3641.499999999998,2.14089054185716e-13
3641.999999999998,2.1392575666815366e-13
3642.499999999998,2.1378965442712286e-13
3642.999999999998,2.1362161910579228e-13
3643.499999999998,2.1342962336254677e-13
3643.999999999998,2.132915833945276e-13
3644.499999999998,2.131895140459199e-13
3644.999999999998,2.1302595239853773e-13
3645.4999999999986,2.1287826931502026e-13
3645.9999999999977,2.1269070754572653e-13
3646.499999999998,2.1250041814153741e-13
