# ABSOLUTE spectrograph sensitivity, [erg/s/cm^2/A] per [e-/s/A]
# arm=r  n=3591
# vendored 2026-09-18 from lvmcore/sensitivity/sens_percentiles-r.csv column 4 (of 8), sha256 1533afa02bdfba43
# columns: wavelength_air_angstrom,sensitivity_abs
5774.999999999999,7.648978777784608e-14
5775.499999999999,7.616906273290147e-14
5775.999999999999,7.583561590550454e-14
5776.499999999999,7.550747581733023e-14
5776.999999999999,7.518017527052545e-14
5777.499999999999,7.485924108316144e-14
5777.999999999999,7.452574545208447e-14
5778.499999999999,7.420581976323105e-14
5778.999999999999,7.386878803499818e-14
5779.499999999999,7.355427649477271e-14
5779.999999999999,7.322087162939437e-14
5780.499999999999,7.28741003739619e-14
5780.999999999999,7.255037354110054e-14
5781.499999999999,7.222751866421908e-14
5781.999999999999,7.188040415397668e-14
5782.499999999998,7.1535996133373e-14
5782.999999999998,7.121180929321036e-14
5783.499999999998,7.086663629398654e-14
5783.999999999998,7.052720558125318e-14
5784.499999999998,7.018170849110036e-14
5784.999999999998,6.986149042835208e-14
5785.499999999998,6.953864485048961e-14
5785.999999999998,6.920011769958883e-14
5786.499999999998,6.886624658566112e-14
5786.999999999998,6.853340351227577e-14
5787.499999999998,6.822933515487496e-14
5787.999999999998,6.788380929902342e-14
5788.499999999998,6.755181309677621e-14
5788.999999999999,6.720620564026693e-14
5789.499999999999,6.686619439403134e-14
5789.999999999999,6.653684767824406e-14
5790.499999999999,6.62039999948519e-14
5790.999999999999,6.587801777321e-14
5791.499999999999,6.552798315941561e-14
5791.999999999999,6.518866993061745e-14
5792.499999999999,6.484970630099074e-14
5792.999999999999,6.452141511956338e-14
5793.499999999999,6.419486636796489e-14
5793.999999999999,6.38580562653353e-14
5794.499999999999,6.353605423563086e-14
5794.999999999999,6.320626884782778e-14
5795.499999999999,6.288424482399072e-14
5795.999999999999,6.255689761411828e-14
5796.499999999998,6.222441580494239e-14
5796.999999999998,6.190554201832821e-14
5797.499999999998,6.158419893740207e-14
5797.999999999998,6.124761502152609e-14
5798.499999999998,6.09189978384981e-14
5798.999999999998,6.059671940229102e-14
5799.499999999998,6.02749651469782e-14
5799.999999999998,5.996246881212421e-14
5800.499999999998,5.964718357157264e-14
5800.999999999998,5.932609311628962e-14
5801.499999999998,5.901613963848269e-14
5801.999999999998,5.869938329311416e-14
5802.499999999998,5.838261059352282e-14
5802.999999999999,5.807428412935887e-14
5803.499999999999,5.776550262227525e-14
5803.999999999999,5.745656342739358e-14
5804.499999999999,5.715341708736516e-14
5804.999999999999,5.685513907513959e-14
5805.499999999999,5.654640961368943e-14
5805.999999999999,5.6245735192065654e-14
5806.499999999999,5.5952367464342973e-14
5806.999999999999,5.5673847510289355e-14
5807.499999999999,5.5379629144190537e-14
5807.999999999999,5.5078665949880995e-14
5808.499999999999,5.47874410343543e-14
5808.999999999999,5.449170428139098e-14
5809.499999999999,5.4197653893778615e-14
5809.999999999999,5.3904515924548475e-14
5810.499999999998,5.362123154610183e-14
5810.999999999998,5.3334797076462804e-14
5811.499999999998,5.3056072487183566e-14
5811.999999999998,5.2779545875392986e-14
5812.499999999998,5.2510930611398887e-14
5812.999999999998,5.224768654188336e-14
5813.499999999998,5.198154684129955e-14
5813.999999999998,5.1714064141268525e-14
5814.499999999998,5.1448584734775485e-14
5814.999999999998,5.117278119258792e-14
5815.499999999998,5.0906806847498516e-14
5815.999999999998,5.065819878670099e-14
5816.499999999998,5.040909434017648e-14
5816.999999999998,5.0157017238085666e-14
5817.499999999999,4.990402285663298e-14
5817.999999999999,4.965585874959463e-14
5818.499999999999,4.9415523891704144e-14
5818.999999999999,4.9167862788250466e-14
5819.499999999999,4.8920151735358585e-14
5819.999999999999,4.867938628247872e-14
5820.499999999999,4.8440137751433753e-14
5820.999999999999,4.820404293476258e-14
5821.499999999999,4.7971937447020977e-14
5821.999999999999,4.7741196313767026e-14
5822.499999999999,4.751438413526629e-14
5822.999999999999,4.7289008853751456e-14
5823.499999999999,4.707601319898396e-14
5823.999999999999,4.6856648489817594e-14
5824.499999999998,4.664844692068786e-14
5824.999999999998,4.6438511276020353e-14
5825.499999999998,4.6232587278867855e-14
5825.999999999998,4.6028169595460234e-14
5826.499999999998,4.5819488005902514e-14
5826.999999999998,4.561237478227578e-14
5827.499999999998,4.5404665002925545e-14
5827.999999999998,4.5208067068550276e-14
5828.499999999998,4.500865803701991e-14
5828.999999999998,4.48136500597701e-14
5829.499999999998,4.46208273906754e-14
5829.999999999998,4.442916178941012e-14
5830.499999999998,4.423820572993188e-14
5830.999999999998,4.4057096334768135e-14
5831.499999999999,4.3873761469630844e-14
5831.999999999999,4.369690882651464e-14
5832.499999999999,4.351333489957915e-14
5832.999999999999,4.334348544292344e-14
5833.499999999999,4.3171577827906984e-14
5833.999999999999,4.2999522132747296e-14
5834.499999999999,4.283057509648784e-14
5834.999999999999,4.266871261741555e-14
5835.499999999999,4.2500524993858183e-14
5835.999999999999,4.234415423872059e-14
5836.499999999999,4.218772510160688e-14
5836.999999999999,4.202906875605299e-14
5837.499999999999,4.187574380887583e-14
5837.999999999999,4.172111353557879e-14
5838.499999999998,4.1575043568322666e-14
5838.999999999998,4.142851176869895e-14
5839.499999999998,4.128779975366125e-14
5839.999999999998,4.1140454833229625e-14
5840.499999999998,4.097982762856996e-14
5840.999999999998,4.081900565231144e-14
5841.499999999998,4.0670979655111204e-14
5841.999999999998,4.0526069331931155e-14
5842.499999999998,4.039017587714309e-14
5842.999999999998,4.0248003386609874e-14
5843.499999999998,4.0112928109912755e-14
5843.999999999998,3.9984797410403773e-14
5844.499999999998,3.987410663825089e-14
5844.999999999998,3.975934849966546e-14
5845.499999999999,3.9646583422091245e-14
5845.999999999999,3.953154685878853e-14
5846.499999999999,3.9420508051705744e-14
5846.999999999999,3.931662035945677e-14
