# ABSOLUTE spectrograph sensitivity, [erg/s/cm^2/A] per [e-/s/A]
# arm=z  n=4561
# vendored 2026-09-18 from lvmcore/sensitivity/sens_percentiles-z.csv column 4 (of 8), sha256 0fc356eb396dbad2
# columns: wavelength_air_angstrom,sensitivity_abs
7519.999999999997,1.008572713528132e-13
7520.499999999997,1.0062770222730884e-13
7520.999999999997,1.004302381103757e-13
7521.499999999997,1.0023236508008899e-13
7521.999999999997,1.000483643251627e-13
7522.499999999997,9.984498614193673e-14
7522.999999999997,9.967057250134754e-14
7523.499999999997,9.947794896856035e-14
7523.999999999997,9.927086090122414e-14
7524.499999999997,9.904233558039567e-14
7524.999999999997,9.884466595194256e-14
7525.499999999997,9.865339911016924e-14
7525.999999999997,9.843709978519585e-14
7526.499999999997,9.82291465532289e-14
7526.999999999997,9.801913582734133e-14
7527.499999999996,9.780435510925064e-14
7527.999999999996,9.759148976587089e-14
7528.499999999996,9.739403496976269e-14
7528.999999999996,9.717792467919236e-14
7529.499999999996,9.698004359101697e-14
7529.999999999996,9.677027258735218e-14
7530.499999999996,9.657739882580505e-14
7530.999999999997,9.636967761615483e-14
7531.499999999997,9.617384819131988e-14
7531.999999999997,9.598235129987704e-14
7532.499999999997,9.579966853501887e-14
7532.999999999997,9.561563239550534e-14
7533.499999999997,9.541880890442118e-14
7533.999999999997,9.521442785023508e-14
7534.499999999997,9.500741178452152e-14
7534.999999999997,9.479362857303502e-14
7535.499999999997,9.45865395097226e-14
7535.999999999997,9.438102835187266e-14
7536.499999999997,9.419288046882139e-14
7536.999999999997,9.398624814909368e-14
7537.499999999997,9.378892023985215e-14
7537.999999999997,9.358509859528993e-14
7538.499999999997,9.337590033788559e-14
7538.999999999997,9.315782959981456e-14
7539.499999999997,9.297491416467637e-14
7539.999999999997,9.275821600260999e-14
7540.499999999997,9.255530122172344e-14
7540.999999999997,9.235682523708168e-14
7541.499999999996,9.213389418712369e-14
7541.999999999996,9.194293974934507e-14
7542.499999999996,9.175168194153013e-14
7542.999999999996,9.154648294004311e-14
7543.499999999996,9.135552495652308e-14
7543.999999999996,9.115327982447422e-14
7544.499999999996,9.096605798336559e-14
7544.999999999997,9.076324525689347e-14
7545.499999999997,9.057885930344904e-14
7545.999999999997,9.037037721667569e-14
7546.499999999997,9.01697427658253e-14
7546.999999999997,8.996635856717822e-14
7547.499999999997,8.974225561729794e-14
7547.999999999997,8.954908345463347e-14
7548.499999999997,8.933479670657521e-14
7548.999999999997,8.912683488876014e-14
7549.499999999997,8.892896038921643e-14
7549.999999999997,8.871870191137834e-14
7550.499999999997,8.850681980710711e-14
7550.999999999997,8.830508560841112e-14
7551.499999999997,8.810639690309523e-14
7551.999999999997,8.789896848584415e-14
7552.499999999997,8.76841143995226e-14
7552.999999999997,8.747705049373809e-14
7553.499999999997,8.723466634500631e-14
7553.999999999997,8.703955876150401e-14
7554.499999999997,8.68361944450228e-14
7554.999999999997,8.664325314413356e-14
7555.499999999996,8.644956867315378e-14
7555.999999999996,8.625408048746278e-14
7556.499999999996,8.605683399714975e-14
7556.999999999996,8.586838684373808e-14
7557.499999999996,8.566610068469355e-14
7557.999999999996,8.548207973467242e-14
7558.499999999996,8.528002001888467e-14
7558.999999999997,8.507582476072997e-14
7559.499999999997,8.487259892971874e-14
7559.999999999997,8.470658921550549e-14
7560.499999999997,8.451890639007555e-14
7560.999999999997,8.430488032520236e-14
7561.499999999997,8.409983052294979e-14
7561.999999999997,8.389317755552967e-14
7562.499999999997,8.369047791181633e-14
7562.999999999997,8.348921156131505e-14
7563.499999999997,8.330858703559206e-14
7563.999999999997,8.309313808997474e-14
7564.499999999997,8.290158349759029e-14
7564.999999999997,8.268176685719818e-14
7565.499999999997,8.24864257024418e-14
7565.999999999997,8.229534734522952e-14
7566.499999999997,8.211741364414851e-14
7566.999999999997,8.192868934326728e-14
7567.499999999997,8.171041808354339e-14
7567.999999999997,8.15053026125177e-14
7568.499999999997,8.130830213607293e-14
7568.999999999997,8.108627918170768e-14
7569.499999999996,8.088043320674055e-14
7569.999999999996,8.069932841955501e-14
7570.499999999996,8.049811626393703e-14
7570.999999999996,8.029861351856689e-14
7571.499999999996,8.009033075209906e-14
7571.999999999996,7.988326600060306e-14
7572.499999999996,7.967005618956385e-14
7572.999999999997,7.944119406507002e-14
7573.499999999997,7.92201269505543e-14
7573.999999999997,7.90007438593528e-14
7574.499999999997,7.881986494409429e-14
7574.999999999997,7.862435922363953e-14
7575.499999999997,7.840536302769547e-14
